result_id,campaign_id,merchant_id,revenue_before,revenue_during_after,transaction_counts_before,transaction_counts_after,customer_counts_before,customer_counts_after,expected_lift_percent,actual_lift_percent,roi,is_successful
res-0029,camp-0029,m-011,212207.03,245099.12,1057,1237,475,526,15.0,15.5,6.08,True
res-0030,camp-0030,m-012,309964.89,339721.52,1294,1430,582,621,22.0,9.6,0.87,False
res-0031,camp-0031,m-012,296607.61,332200.52,1568,1774,705,764,12.0,12.0,8.03,True
res-0032,camp-0032,m-012,223253.93,268574.48,1122,1372,504,575,18.0,20.3,8.23,True
res-0033,camp-0033,m-013,182529.35,214471.99,937,1117,421,472,18.0,17.5,8.76,True
res-0034,camp-0034,m-013,328814.29,372546.59,1316,1508,592,647,12.0,13.3,4.55,True
res-0035,camp-0035,m-014,268434.16,321047.26,1084,1317,487,553,18.0,19.6,9.66,True
res-0036,camp-0036,m-014,224464.8,274520.45,1080,1344,486,561,18.0,22.3,4.65,True
res-0037,camp-0037,m-014,237714.88,251740.06,983,1046,442,460,22.0,5.9,0.26,False
res-0038,camp-0038,m-015,185703.38,196102.77,922,978,414,430,12.0,5.6,0.6,False
res-0039,camp-0039,m-015,274013.31,311827.15,1329,1530,598,655,12.0,13.8,6.93,True
res-0040,camp-0040,m-015,244188.56,291316.95,1111,1346,499,566,18.0,19.3,6.92,True
res-0041,camp-0041,m-015,272141.14,298266.69,1128,1247,507,541,25.0,9.6,0.49,False
res-0042,camp-0042,m-016,263572.34,308116.07,1304,1546,586,655,15.0,16.9,6.64,True
res-0043,camp-0043,m-016,211411.18,238683.22,979,1117,440,479,12.0,12.9,4.95,True
res-0044,camp-0044,m-016,257571.94,288480.57,1105,1250,497,538,12.0,12.0,7.32,True
res-0045,camp-0045,m-016,247446.05,257096.45,1325,1381,596,612,12.0,3.9,0.56,False
res-0046,camp-0046,m-017,224319.19,236656.75,1091,1157,490,508,18.0,5.5,-0.24,False
res-0047,camp-0047,m-017,206326.64,216849.3,836,882,376,389,22.0,5.1,0.65,False
res-0048,camp-0048,m-018,293899.56,351209.97,1397,1696,628,713,18.0,19.5,9.68,True
res-0049,camp-0049,m-018,278846.4,315375.28,1203,1376,541,590,12.0,13.1,7.15,True
res-0050,camp-0050,m-019,342467.39,431166.44,1471,1890,661,780,25.0,25.9,7.25,True
res-0051,camp-0051,m-019,297270.55,311836.81,1228,1294,552,570,12.0,4.9,0.33,False
res-0052,camp-0052,m-020,248667.09,284723.82,1257,1457,565,622,15.0,14.5,4.05,True
res-0053,camp-0053,m-020,238281.78,271879.51,1034,1194,465,510,12.0,14.1,7.83,True
res-0054,camp-0054,m-020,302024.66,342797.99,1319,1514,593,649,12.0,13.5,8.89,True
res-0055,camp-0055,m-021,232750.28,269292.07,1159,1359,521,578,15.0,15.7,4.39,True
res-0056,camp-0056,m-021,185092.06,239879.31,984,1304,442,533,25.0,29.6,4.88,True
res-0057,camp-0057,m-021,185029.14,195205.74,821,870,369,383,15.0,5.5,1.17,False
res-0058,camp-0058,m-021,333186.07,386162.66,1601,1881,720,800,15.0,15.9,7.71,True
res-0059,camp-0059,m-022,305344.32,388092.63,1488,1931,669,795,25.0,27.1,3.83,True
res-0060,camp-0060,m-022,217776.48,226051.99,1061,1105,477,489,12.0,3.8,-0.33,False
res-0061,camp-0061,m-023,192896.89,208521.54,1003,1092,451,476,25.0,8.1,1.14,False
res-0062,camp-0062,m-023,300028.88,361834.83,1577,1934,709,811,18.0,20.6,8.27,True
res-0063,camp-0063,m-023,189822.24,217726.11,937,1088,421,464,15.0,14.7,8.83,True
res-0064,camp-0064,m-023,305537.63,337313.54,1663,1853,748,802,22.0,10.4,0.31,False
res-0065,camp-0065,m-024,248837.61,322991.22,1359,1804,611,738,25.0,29.8,6.73,True
res-0066,camp-0066,m-024,285078.48,350931.61,1220,1530,549,637,22.0,23.1,8.12,True
res-0067,camp-0067,m-024,304359.36,318055.53,1542,1618,693,714,12.0,4.5,-0.22,False
res-0068,camp-0068,m-025,327053.38,354198.81,1504,1641,676,715,18.0,8.3,0.91,False
res-0069,camp-0069,m-025,257537.96,292048.05,1042,1195,468,511,12.0,13.4,5.53,True
res-0070,camp-0070,m-025,307364.98,365149.6,1578,1904,710,803,18.0,18.8,5.96,True
res-0071,camp-0071,m-025,344571.61,358009.9,1787,1863,804,825,15.0,3.9,-0.5,False
res-0072,camp-0072,m-026,335626.31,370867.07,1799,2006,809,868,25.0,10.5,0.3,False
res-0073,camp-0073,m-026,193737.21,243333.94,872,1117,392,462,22.0,25.6,5.69,True
res-0074,camp-0074,m-027,330177.38,373100.44,1365,1560,614,669,12.0,13.0,8.19,True
res-0075,camp-0075,m-027,282677.18,332145.69,1298,1547,584,655,18.0,17.5,9.6,True
res-0076,camp-0076,m-027,220559.59,244380.03,1218,1362,548,589,25.0,10.8,0.41,False
res-0077,camp-0077,m-027,340532.01,372201.49,1634,1801,735,782,22.0,9.3,0.9,False
res-0078,camp-0078,m-028,194829.54,223274.65,858,995,386,425,12.0,14.6,9.1,True
res-0079,camp-0079,m-028,315787.19,362523.69,1301,1512,585,645,12.0,14.8,7.29,True
res-0080,camp-0080,m-028,289522.4,378116.25,1521,2032,684,830,25.0,30.6,5.66,True
res-0081,camp-0081,m-029,230999.77,272117.73,996,1191,448,503,15.0,17.8,7.62,True
res-0082,camp-0082,m-029,309480.92,370758.14,1556,1894,700,797,18.0,19.8,6.88,True
res-0083,camp-0083,m-030,273318.4,288897.55,1281,1361,576,598,25.0,5.7,0.29,False
res-0084,camp-0084,m-030,243611.36,305001.42,998,1274,449,528,25.0,25.2,3.85,True
res-0085,camp-0085,m-031,333046.44,354028.37,1830,1956,823,859,25.0,6.3,1.12,False
res-0086,camp-0086,m-031,309638.8,369089.45,1476,1787,664,753,18.0,19.2,4.17,True
res-0087,camp-0087,m-031,194859.57,214150.67,915,1014,411,439,22.0,9.9,1.06,False
res-0088,camp-0088,m-031,242383.76,249897.66,1055,1090,474,484,15.0,3.1,-0.29,False
res-0089,camp-0089,m-032,336549.58,351021.21,1499,1569,674,694,12.0,4.3,1.11,False
res-0090,camp-0090,m-032,234397.26,285964.66,1229,1526,553,638,22.0,22.0,8.79,True
res-0091,camp-0091,m-032,323320.83,334313.74,1500,1556,675,691,12.0,3.4,0.42,False
res-0092,camp-0092,m-032,261492.55,269075.83,1095,1129,492,501,12.0,2.9,-0.51,False
res-0093,camp-0093,m-033,230245.26,272149.9,1172,1406,527,594,15.0,18.2,6.79,True
res-0094,camp-0094,m-033,182562.73,209216.89,961,1115,432,476,15.0,14.6,4.86,True
res-0095,camp-0095,m-033,260471.45,320119.41,1417,1773,637,739,22.0,22.9,4.02,True
res-0096,camp-0096,m-033,322668.16,363969.68,1651,1883,742,808,12.0,12.8,5.46,True
res-0097,camp-0097,m-034,290664.89,311592.76,1298,1400,584,613,18.0,7.2,0.21,False
res-0098,camp-0098,m-034,273079.04,312948.58,1470,1706,661,728,12.0,14.6,7.7,True
res-0099,camp-0099,m-034,304731.89,371468.17,1374,1704,618,712,22.0,21.9,9.49,True
res-0100,camp-0100,m-034,318436.79,366520.75,1335,1556,600,663,15.0,15.1,4.85,True
res-0101,camp-0101,m-035,331544.59,353758.08,1834,1969,825,863,22.0,6.7,0.58,False
res-0102,camp-0102,m-035,256484.84,279055.51,1245,1365,560,594,22.0,8.8,0.44,False
res-0103,camp-0103,m-036,287002.23,306518.38,1567,1684,705,738,18.0,6.8,-0.14,False
res-0104,camp-0104,m-036,316267.39,377939.53,1401,1701,630,715,18.0,19.5,6.3,True
res-0105,camp-0105,m-037,214495.11,223074.91,1149,1199,517,531,12.0,4.0,-0.17,False
res-0106,camp-0106,m-037,197008.45,233849.03,1021,1231,459,519,15.0,18.7,4.33,True
res-0107,camp-0107,m-037,325617.25,369575.58,1752,2012,788,862,12.0,13.5,6.61,True
res-0108,camp-0108,m-037,243235.78,288234.4,1080,1299,486,548,15.0,18.5,5.18,True
res-0109,camp-0109,m-038,232834.63,245174.87,1240,1312,558,578,25.0,5.3,0.9,False
res-0110,camp-0110,m-038,328805.72,368920.02,1533,1738,689,747,12.0,12.2,9.12,True
res-0111,camp-0111,m-038,180973.18,201061.2,879,986,395,425,25.0,11.1,0.93,False
res-0112,camp-0112,m-038,285995.32,297435.13,1306,1363,587,603,15.0,4.0,-0.08,False
res-0113,camp-0113,m-039,198936.94,235541.34,1002,1204,450,507,18.0,18.4,6.6,True
res-0114,camp-0114,m-039,191939.31,247409.77,853,1124,383,460,25.0,28.9,3.55,True
res-0115,camp-0115,m-039,222899.53,236942.2,1106,1182,497,518,25.0,6.3,0.93,False
res-0116,camp-0116,m-040,331722.62,354943.2,1827,1967,822,862,18.0,7.0,0.26,False
res-0117,camp-0117,m-040,296302.34,376896.58,1362,1769,612,728,22.0,27.2,7.61,True
res-0118,camp-0118,m-040,253914.73,302158.53,1173,1418,527,597,18.0,19.0,5.35,True
res-0119,camp-0119,m-040,261847.35,301909.99,1297,1515,583,645,15.0,15.3,4.48,True
res-0120,camp-0120,m-041,224592.16,260077.72,1024,1201,460,510,15.0,15.8,5.54,True
