merchant_id,date,revenue,transaction_count,unique_customers,avg_ticket_size,category,business_size,day_of_week,day_of_week_num,month,day_of_month,is_weekend,dow_sin,dow_cos,month_sin,month_cos,is_holiday_festival,has_active_campaign,lag_1_revenue,lag_2_revenue,lag_7_revenue,lag_14_revenue,lag_1_transactions,lag_7_transactions,lag_1_aov,rolling_7_revenue_mean,rolling_7_revenue_std,rolling_30_revenue_mean,target_revenue_next_day,target_revenue_next_7d,split
m-001,2025-09-28,9665.03,88.0,60.0,109.83,Food & Beverage,MICRO,Sunday,6,9,28,1,-0.7818,0.6235,-1.0,-0.0,0,0,10431.14,8705.27,10844.14,0.0,95,91,109.8,8592.0,1774.78,8667.23,8062.6,63859.03,TRAIN
m-001,2025-09-29,8062.6,68.0,47.0,118.57,Food & Beverage,MICRO,Monday,0,9,29,0,0.0,1.0,-1.0,-0.0,0,0,9665.03,10431.14,8855.16,0.0,88,84,109.83,8423.56,1569.49,8757.94,6696.51,65863.56,TRAIN
m-001,2025-09-30,6696.51,70.0,46.0,95.66,Food & Beverage,MICRO,Tuesday,1,9,30,0,0.7818,0.6235,-1.0,-0.0,0,0,8062.6,9665.03,8656.41,0.0,68,69,118.57,8310.33,1561.73,8699.99,9607.28,67248.83,TRAIN
m-001,2025-10-01,9607.28,72.0,51.0,133.43,Food & Beverage,MICRO,Wednesday,2,10,1,0,0.9749,-0.2225,-0.866,0.5,0,0,6696.51,8062.6,6115.82,0.0,70,58,95.66,8030.35,1661.82,8545.88,7863.61,64845.73,TRAIN
m-001,2025-10-02,7863.61,68.0,53.0,115.64,Food & Beverage,MICRO,Thursday,3,10,2,0,0.4339,-0.901,-0.866,0.5,0,1,9607.28,6696.51,6536.07,7295.1,72,60,133.43,8529.13,1508.3,8621.69,8414.96,64508.91,TRAIN
m-001,2025-10-03,8414.96,73.0,50.0,115.27,Food & Beverage,MICRO,Friday,4,10,3,0,-0.4339,-0.901,-0.866,0.5,0,1,7863.61,9607.28,8705.27,9730.44,68,74,115.64,8718.78,1282.49,8571.16,11310.12,63400.74,TRAIN
m-001,2025-10-04,11310.12,96.0,64.0,117.81,Food & Beverage,MICRO,Saturday,5,10,4,1,-0.9749,-0.2225,-0.866,0.5,0,1,8414.96,7863.61,10431.14,9502.75,73,95,115.27,8677.3,1287.68,8561.39,11903.95,64795.64,TRAIN
m-001,2025-10-05,11903.95,102.0,74.0,116.71,Food & Beverage,MICRO,Sunday,6,10,5,1,-0.7818,0.6235,-0.866,0.5,0,1,11310.12,8414.96,9665.03,10844.14,96,88,117.81,8802.87,1510.75,8723.08,10067.13,63351.83,TRAIN
m-001,2025-10-06,10067.13,79.0,60.0,127.43,Food & Beverage,MICRO,Monday,0,10,6,0,0.0,1.0,-0.866,0.5,0,1,11903.95,11310.12,8062.6,8855.16,102,68,116.71,9122.72,1908.38,8899.8,8081.78,61001.84,TRAIN
m-001,2025-10-07,8081.78,61.0,46.0,132.49,Food & Beverage,MICRO,Tuesday,1,10,7,0,0.7818,0.6235,-0.866,0.5,0,1,10067.13,11903.95,6696.51,8656.41,79,70,127.43,9409.08,1872.85,8961.24,7204.18,60658.04,TRAIN
m-001,2025-10-08,7204.18,63.0,48.0,114.35,Food & Beverage,MICRO,Wednesday,2,10,8,0,0.9749,-0.2225,-0.866,0.5,0,1,8081.78,10067.13,9607.28,6115.82,61,72,132.49,9606.98,1590.33,8917.26,7526.79,62685.42,TRAIN
m-001,2025-10-09,7526.79,63.0,47.0,119.47,Food & Beverage,MICRO,Thursday,3,10,9,0,0.4339,-0.901,-0.866,0.5,0,1,7204.18,8081.78,7863.61,6536.07,63,68,114.35,9263.68,1831.37,8835.69,7306.79,64955.76,TRAIN
m-001,2025-10-10,7306.79,71.0,56.0,102.91,Food & Beverage,MICRO,Friday,4,10,10,0,-0.4339,-0.901,-0.866,0.5,0,1,7526.79,7204.18,8414.96,8705.27,63,73,119.47,9215.56,1878.11,8776.19,12705.02,65852.11,TRAIN
m-001,2025-10-11,12705.02,95.0,68.0,133.74,Food & Beverage,MICRO,Saturday,5,10,11,1,-0.9749,-0.2225,-0.866,0.5,0,1,7306.79,7526.79,11310.12,10431.14,71,96,102.91,9057.25,1999.62,8712.31,10460.14,64215.01,TRAIN
m-001,2025-10-12,10460.14,81.0,54.0,129.14,Food & Beverage,MICRO,Sunday,6,10,12,1,-0.7818,0.6235,-0.866,0.5,0,1,12705.02,7306.79,11903.95,9665.03,95,102,133.74,9256.52,2307.37,8878.67,7717.14,65912.68,TRAIN
m-001,2025-10-13,7717.14,66.0,48.0,116.93,Food & Beverage,MICRO,Monday,0,10,13,0,0.0,1.0,-0.866,0.5,0,1,10460.14,12705.02,10067.13,8062.6,81,79,129.14,9050.26,2085.09,8941.93,7737.98,71755.89,TRAIN
m-001,2025-10-14,7737.98,69.0,46.0,112.14,Food & Beverage,MICRO,Tuesday,1,10,14,0,0.7818,0.6235,-0.866,0.5,0,1,7717.14,10460.14,8081.78,6696.51,66,61,116.93,8714.55,2083.26,8894.82,9231.56,82671.13,TRAIN
m-001,2025-10-15,9231.56,69.0,47.0,133.79,Food & Beverage,MICRO,Wednesday,2,10,15,0,0.9749,-0.2225,-0.866,0.5,0,1,7737.98,7717.14,7204.18,9607.28,69,63,112.14,8665.43,2104.61,8851.97,9797.13,85540.46,TRAIN
m-001,2025-10-16,9797.13,71.0,53.0,137.99,Food & Beverage,MICRO,Thursday,3,10,16,0,0.4339,-0.901,-0.866,0.5,0,1,9231.56,7737.98,7526.79,7863.61,69,63,133.79,8955.06,2007.25,8865.53,8203.14,83571.89,TRAIN
m-001,2025-10-17,8203.14,73.0,45.0,112.37,Food & Beverage,MICRO,Friday,4,10,17,0,-0.4339,-0.901,-0.866,0.5,0,1,9797.13,9231.56,7306.79,8414.96,71,71,137.99,9279.39,1919.51,8897.66,11067.92,81894.57,TRAIN
m-001,2025-10-18,11067.92,97.0,72.0,114.1,Food & Beverage,MICRO,Saturday,5,10,18,1,-0.9749,-0.2225,-0.866,0.5,0,1,8203.14,9797.13,12705.02,11310.12,73,95,112.37,9407.44,1791.63,8874.5,12157.81,83497.97,TRAIN
m-001,2025-10-19,12157.81,102.0,75.0,119.19,Food & Beverage,MICRO,Sunday,6,10,19,1,-0.7818,0.6235,-0.866,0.5,0,1,11067.92,8203.14,10460.14,11903.95,97,81,114.1,9173.57,1339.14,9000.27,13560.35,80879.6,TRAIN
m-001,2025-10-20,13560.35,119.0,83.0,113.95,Food & Beverage,MICRO,Monday,0,10,20,0,0.0,1.0,-0.866,0.5,1,1,12157.81,11067.92,7717.14,10067.13,102,66,119.19,9416.1,1712.63,9081.18,18653.22,75990.74,TRAIN
m-001,2025-10-21,18653.22,151.0,101.0,123.53,Food & Beverage,MICRO,Tuesday,1,10,21,0,0.7818,0.6235,-0.866,0.5,1,1,13560.35,12157.81,7737.98,8081.78,119,69,113.95,10250.84,2121.69,9216.43,12100.89,64770.31,TRAIN
m-001,2025-10-22,12100.89,113.0,78.0,107.09,Food & Beverage,MICRO,Wednesday,2,10,22,0,0.9749,-0.2225,-0.866,0.5,1,1,18653.22,13560.35,9231.56,7204.18,151,69,123.53,11810.16,3518.39,9476.73,7828.56,59152.1,TRAIN
m-001,2025-10-23,7828.56,61.0,40.0,128.34,Food & Beverage,MICRO,Thursday,3,10,23,0,0.4339,-0.901,-0.866,0.5,0,1,12100.89,18653.22,9797.13,7526.79,113,71,107.09,12220.07,3330.01,9584.92,6525.82,59343.13,TRAIN
m-001,2025-10-24,6525.82,67.0,49.0,97.4,Food & Beverage,MICRO,Friday,4,10,24,0,-0.4339,-0.901,-0.866,0.5,0,0,7828.56,12100.89,8203.14,7306.79,61,73,128.34,11938.84,3637.64,9557.33,12671.32,60946.97,TRAIN
m-001,2025-10-25,12671.32,102.0,68.0,124.23,Food & Beverage,MICRO,Saturday,5,10,25,1,-0.9749,-0.2225,-0.866,0.5,0,0,6525.82,7828.56,11067.92,12705.02,67,97,97.4,11699.22,3965.23,9571.0,9539.44,60276.92,TRAIN
m-001,2025-10-26,9539.44,83.0,51.0,114.93,Food & Beverage,MICRO,Sunday,6,10,26,1,-0.7818,0.6235,-0.866,0.5,0,0,12671.32,6525.82,12157.81,10460.14,102,102,124.23,11928.28,3968.99,9775.5,8671.49,61257.62,TRAIN
m-001,2025-10-27,8671.49,76.0,57.0,114.1,Food & Beverage,MICRO,Monday,0,10,27,0,0.0,1.0,-0.866,0.5,0,0,9539.44,12671.32,13560.35,7717.14,83,119,114.93,11554.23,4065.95,9803.31,7432.79,63103.79,TRAIN
m-001,2025-10-28,7432.79,71.0,51.0,104.69,Food & Beverage,MICRO,Tuesday,1,10,28,0,0.7818,0.6235,-0.866,0.5,0,0,8671.49,9539.44,18653.22,7737.98,76,151,114.1,10855.82,4083.77,9744.66,6482.68,65051.96,TRAIN
m-001,2025-10-29,6482.68,59.0,38.0,109.88,Food & Beverage,MICRO,Wednesday,2,10,29,0,0.9749,-0.2225,-0.866,0.5,0,0,7432.79,8671.49,12100.89,9231.56,71,113,104.69,9252.9,2345.04,9670.25,8019.59,66200.26,TRAIN
m-001,2025-10-30,8019.59,64.0,40.0,125.31,Food & Beverage,MICRO,Thursday,3,10,30,0,0.4339,-0.901,-0.866,0.5,0,0,6482.68,7432.79,7828.56,9797.13,59,61,109.88,8450.3,2162.14,9617.58,8129.66,65677.9,TRAIN
m-001,2025-10-31,8129.66,74.0,56.0,109.86,Food & Beverage,MICRO,Friday,4,10,31,0,-0.4339,-0.901,-0.866,0.5,0,0,8019.59,6482.68,6525.82,8203.14,64,67,125.31,8477.59,2154.18,9661.69,12001.27,65598.31,TRAIN
m-001,2025-11-01,12001.27,88.0,61.0,136.38,Food & Beverage,MICRO,Saturday,5,11,1,1,-0.9749,-0.2225,-0.5,0.866,0,0,8129.66,8019.59,12671.32,11067.92,74,102,109.86,8706.71,1991.11,9612.43,10520.14,63607.72,TRAIN
m-001,2025-11-02,10520.14,88.0,62.0,119.55,Food & Beverage,MICRO,Sunday,6,11,2,1,-0.7818,0.6235,-0.5,0.866,0,0,12001.27,8129.66,9539.44,12157.81,88,83,136.38,8610.99,1772.9,9750.35,10517.66,63664.06,TRAIN
m-001,2025-11-03,10517.66,83.0,52.0,126.72,Food & Beverage,MICRO,Monday,0,11,3,0,0.0,1.0,-0.5,0.866,0,0,10520.14,12001.27,8671.49,13560.35,88,76,119.55,8751.09,1893.16,9820.53,9380.96,61985.58,TRAIN
m-001,2025-11-04,9380.96,67.0,48.0,140.01,Food & Beverage,MICRO,Tuesday,1,11,4,0,0.7818,0.6235,-0.5,0.866,0,0,10517.66,10520.14,7432.79,18653.22,83,71,126.72,9014.83,2005.49,9794.11,7630.98,60639.39,TRAIN
m-001,2025-11-05,7630.98,57.0,43.0,133.88,Food & Beverage,MICRO,Wednesday,2,11,5,0,0.9749,-0.2225,-0.5,0.866,0,0,9380.96,10517.66,6482.68,12100.89,67,59,140.01,9293.14,1880.65,9710.01,7497.23,62061.57,TRAIN
m-001,2025-11-06,7497.23,58.0,43.0,129.26,Food & Beverage,MICRO,Thursday,3,11,6,0,0.4339,-0.901,-0.5,0.866,0,0,7630.98,9380.96,8019.59,7828.56,57,64,133.88,9457.18,1627.71,9628.81,8050.07,60876.94,TRAIN
m-001,2025-11-07,8050.07,68.0,48.0,118.38,Food & Beverage,MICRO,Friday,4,11,7,0,-0.4339,-0.901,-0.5,0.866,0,0,7497.23,7630.98,8129.66,6525.82,58,74,129.26,9382.56,1714.28,9609.32,10010.68,60633.15,TRAIN
m-001,2025-11-08,10010.68,87.0,55.0,115.07,Food & Beverage,MICRO,Saturday,5,11,8,1,-0.9749,-0.2225,-0.5,0.866,0,0,8050.07,7497.23,12001.27,12671.32,68,88,118.38,9371.19,1724.21,9637.52,10576.48,60793.56,TRAIN
m-001,2025-11-09,10576.48,90.0,64.0,117.52,Food & Beverage,MICRO,Sunday,6,11,9,1,-0.7818,0.6235,-0.5,0.866,0,0,10010.68,8050.07,10520.14,9539.44,87,88,115.07,9086.82,1339.33,9720.31,8839.18,61348.77,TRAIN
m-001,2025-11-10,8839.18,72.0,54.0,122.77,Food & Beverage,MICRO,Monday,0,11,10,0,0.0,1.0,-0.5,0.866,0,0,10576.48,10010.68,10517.66,8671.49,90,83,117.52,9094.87,1349.51,9829.3,8034.77,62001.3,TRAIN
m-001,2025-11-11,8034.77,77.0,51.0,104.35,Food & Beverage,MICRO,Tuesday,1,11,11,0,0.7818,0.6235,-0.5,0.866,0,0,8839.18,10576.48,9380.96,7432.79,72,67,122.77,8855.08,1194.83,9700.44,9053.16,62096.39,TRAIN
m-001,2025-11-12,9053.16,77.0,47.0,117.57,Food & Beverage,MICRO,Wednesday,2,11,12,0,0.9749,-0.2225,-0.5,0.866,0,0,8034.77,8839.18,7630.98,6482.68,77,57,104.35,8662.77,1204.38,9619.6,6312.6,61398.11,TRAIN
m-001,2025-11-13,6312.6,58.0,39.0,108.84,Food & Beverage,MICRO,Thursday,3,11,13,0,0.4339,-0.901,-0.5,0.866,0,0,9053.16,8034.77,7497.23,8019.59,77,58,117.57,8865.94,1118.18,9664.13,7806.28,62030.78,TRAIN
m-001,2025-11-14,7806.28,66.0,54.0,118.28,Food & Beverage,MICRO,Friday,4,11,14,0,-0.4339,-0.901,-0.5,0.866,0,0,6312.6,9053.16,8050.07,8129.66,58,68,108.84,8696.71,1411.13,9616.62,10171.09,62034.23,TRAIN
m-001,2025-11-15,10171.09,91.0,69.0,111.77,Food & Beverage,MICRO,Saturday,5,11,15,1,-0.9749,-0.2225,-0.5,0.866,0,0,7806.28,6312.6,10010.68,12001.27,66,87,118.28,8661.88,1432.59,9569.11,11131.69,63676.13,TRAIN
m-001,2025-11-16,11131.69,92.0,62.0,121.0,Food & Beverage,MICRO,Sunday,6,11,16,1,-0.7818,0.6235,-0.5,0.866,0,0,10171.09,7806.28,10576.48,10520.14,91,90,111.77,8684.79,1458.81,9581.57,9491.71,62258.8,TRAIN
m-001,2025-11-17,9491.71,73.0,49.0,130.02,Food & Beverage,MICRO,Monday,0,11,17,0,0.0,1.0,-0.5,0.866,0,0,11131.69,10171.09,8839.18,10517.66,92,72,121.0,8764.11,1588.16,9679.19,8129.86,60043.82,TRAIN
m-001,2025-11-18,8129.86,77.0,54.0,105.58,Food & Beverage,MICRO,Tuesday,1,11,18,0,0.7818,0.6235,-0.5,0.866,0,0,9491.71,11131.69,8034.77,9380.96,73,77,130.02,8857.33,1612.27,9626.65,8354.88,60427.63,TRAIN
m-001,2025-11-19,8354.88,70.0,43.0,119.36,Food & Beverage,MICRO,Wednesday,2,11,19,0,0.9749,-0.2225,-0.5,0.866,0,0,8129.86,9491.71,9053.16,7630.98,77,77,105.58,8870.91,1604.56,9492.39,6945.27,61596.34,TRAIN
m-001,2025-11-20,6945.27,61.0,48.0,113.86,Food & Beverage,MICRO,Thursday,3,11,20,0,0.4339,-0.901,-0.5,0.866,0,0,8354.88,8129.86,6312.6,7497.23,70,58,119.36,8771.16,1613.03,9318.87,7809.73,64340.73,TRAIN
m-001,2025-11-21,7809.73,69.0,53.0,113.18,Food & Beverage,MICRO,Friday,4,11,21,0,-0.4339,-0.901,-0.5,0.866,0,0,6945.27,8354.88,7806.28,8050.07,61,66,113.86,8861.54,1463.06,8928.61,11812.99,65453.52,TRAIN
m-001,2025-11-22,11812.99,92.0,63.0,128.4,Food & Beverage,MICRO,Saturday,5,11,22,1,-0.9749,-0.2225,-0.5,0.866,0,0,7809.73,6945.27,10171.09,10010.68,69,91,113.18,8862.03,1462.65,8785.57,9714.36,64653.22,TRAIN
m-001,2025-11-23,9714.36,88.0,64.0,110.39,Food & Beverage,MICRO,Sunday,6,11,23,1,-0.7818,0.6235,-0.5,0.866,0,0,11812.99,7809.73,11131.69,10576.48,92,92,128.4,9096.59,1800.25,8918.38,7276.73,66378.34,TRAIN
m-001,2025-11-24,7276.73,73.0,53.0,99.68,Food & Beverage,MICRO,Monday,0,11,24,0,0.0,1.0,-0.5,0.866,0,0,9714.36,11812.99,9491.71,8839.18,88,73,110.39,8894.11,1602.0,9024.67,8513.67,68084.52,TRAIN
m-001,2025-11-25,8513.67,63.0,43.0,135.14,Food & Beverage,MICRO,Tuesday,1,11,25,0,0.7818,0.6235,-0.5,0.866,0,0,7276.73,9714.36,8129.86,8034.77,73,77,99.68,8577.69,1681.09,8844.85,9523.59,66266.25,TRAIN
m-001,2025-11-26,9523.59,73.0,54.0,130.46,Food & Beverage,MICRO,Wednesday,2,11,26,0,0.9749,-0.2225,-0.5,0.866,0,0,8513.67,7276.73,8354.88,9053.16,63,70,135.14,8632.52,1670.28,8810.66,9689.66,65164.94,TRAIN
m-001,2025-11-27,9689.66,77.0,53.0,125.84,Food & Beverage,MICRO,Thursday,3,11,27,0,0.4339,-0.901,-0.5,0.866,0,0,9523.59,8513.67,6945.27,6312.6,73,61,130.46,8799.48,1696.11,8839.06,8922.52,63157.25,TRAIN
m-001,2025-11-28,8922.52,80.0,49.0,111.53,Food & Beverage,MICRO,Friday,4,11,28,0,-0.4339,-0.901,-0.5,0.866,0,0,9689.66,9523.59,7809.73,7806.28,77,69,125.84,9191.53,1502.17,8914.29,11012.69,61640.37,TRAIN
m-001,2025-11-29,11012.69,86.0,61.0,128.05,Food & Beverage,MICRO,Saturday,5,11,29,1,-0.9749,-0.2225,-0.5,0.866,0,0,8922.52,9689.66,11812.99,10171.09,80,92,111.53,9350.5,1385.95,8995.62,11439.48,60827.71,TRAIN
m-001,2025-11-30,11439.48,96.0,65.0,119.16,Food & Beverage,MICRO,Sunday,6,11,30,1,-0.7818,0.6235,-0.5,0.866,0,0,11012.69,8922.52,9714.36,11131.69,86,88,128.05,9236.17,1164.24,9095.39,8982.91,60916.54,TRAIN
m-001,2025-12-01,8982.91,69.0,50.0,130.19,Food & Beverage,MICRO,Monday,0,12,1,0,0.0,1.0,-0.0,1.0,0,0,11439.48,11012.69,7276.73,9491.71,96,73,119.16,9482.62,1433.73,9205.71,6695.4,57628.78,TRAIN
m-001,2025-12-02,6695.4,76.0,59.0,88.1,Food & Beverage,MICRO,Tuesday,1,12,2,0,0.7818,0.6235,-0.0,1.0,0,0,8982.91,11439.48,8513.67,8129.86,69,63,130.19,9726.36,1103.13,9105.1,8422.28,59766.69,TRAIN
m-001,2025-12-03,8422.28,60.0,37.0,140.37,Food & Beverage,MICRO,Wednesday,2,12,3,0,0.9749,-0.2225,-0.0,1.0,0,0,6695.4,8982.91,9523.59,8354.88,76,73,88.1,9466.61,1556.98,8977.61,7681.97,61047.88,TRAIN
m-001,2025-12-04,7681.97,74.0,50.0,103.81,Food & Beverage,MICRO,Thursday,3,12,4,0,0.4339,-0.901,-0.0,1.0,0,0,8422.28,6695.4,9689.66,6945.27,60,77,140.37,9309.28,1605.16,8907.76,7405.64,64738.56,TRAIN
m-001,2025-12-05,7405.64,70.0,46.0,105.79,Food & Beverage,MICRO,Friday,4,12,5,0,-0.4339,-0.901,-0.0,1.0,0,0,7681.97,8422.28,8922.52,7809.73,74,80,103.81,9022.46,1702.3,8851.13,10200.03,65598.32,TRAIN
m-001,2025-12-06,10200.03,92.0,68.0,110.87,Food & Beverage,MICRO,Saturday,5,12,6,1,-0.9749,-0.2225,-0.0,1.0,0,0,7405.64,7681.97,11012.69,11812.99,70,86,105.79,8805.77,1810.26,8843.62,11528.31,65231.88,TRAIN
m-001,2025-12-07,11528.31,91.0,65.0,126.68,Food & Beverage,MICRO,Sunday,6,12,7,1,-0.7818,0.6235,-0.0,1.0,0,0,10200.03,7405.64,11439.48,9714.36,92,96,110.87,8689.67,1665.4,8933.71,5695.15,61632.75,TRAIN
m-001,2025-12-08,5695.15,53.0,36.0,107.46,Food & Beverage,MICRO,Monday,0,12,8,0,0.0,1.0,-0.0,1.0,0,0,11528.31,10200.03,8982.91,7276.73,91,69,126.68,8702.36,1690.01,9049.65,8833.31,64791.22,TRAIN
m-001,2025-12-09,8833.31,67.0,43.0,131.84,Food & Beverage,MICRO,Tuesday,1,12,9,0,0.7818,0.6235,-0.0,1.0,0,0,5695.15,11528.31,6695.4,8513.67,53,76,107.46,8232.68,2023.08,8905.8,9703.47,63516.0,TRAIN
m-001,2025-12-10,9703.47,83.0,62.0,116.91,Food & Beverage,MICRO,Wednesday,2,12,10,0,0.9749,-0.2225,-0.0,1.0,0,1,8833.31,5695.15,8422.28,9523.59,67,60,131.84,8538.1,1910.57,8847.7,11372.65,62102.71,TRAIN
m-001,2025-12-11,11372.65,72.0,53.0,157.95,Food & Beverage,MICRO,Thursday,3,12,11,0,0.4339,-0.901,-0.0,1.0,0,1,9703.47,8833.31,7681.97,9689.66,83,74,116.91,8721.13,1958.4,8876.51,8265.4,58332.35,TRAIN
m-001,2025-12-12,8265.4,71.0,48.0,116.41,Food & Beverage,MICRO,Friday,4,12,12,0,-0.4339,-0.901,-0.0,1.0,0,1,11372.65,9703.47,7405.64,8922.52,72,70,157.95,9248.37,2121.98,8987.77,9833.59,58439.73,TRAIN
m-001,2025-12-13,9833.59,78.0,46.0,126.07,Food & Beverage,MICRO,Saturday,5,12,13,1,-0.9749,-0.2225,-0.0,1.0,0,1,8265.4,11372.65,10200.03,11012.69,71,92,116.41,9371.19,2019.97,8961.51,7929.18,58720.47,TRAIN
m-001,2025-12-14,7929.18,82.0,58.0,96.7,Food & Beverage,MICRO,Sunday,6,12,14,1,-0.7818,0.6235,-0.0,1.0,0,1,9833.59,8265.4,11528.31,11439.48,78,91,126.07,9318.84,1999.56,9078.88,8853.62,61297.88,TRAIN
m-001,2025-12-15,8853.62,82.0,55.0,107.97,Food & Beverage,MICRO,Monday,0,12,15,0,0.0,1.0,-0.0,1.0,0,1,7929.18,9833.59,5695.15,8982.91,82,53,96.7,8804.68,1788.31,9082.97,7558.09,60176.47,TRAIN
m-001,2025-12-16,7558.09,59.0,44.0,128.1,Food & Beverage,MICRO,Tuesday,1,12,16,0,0.7818,0.6235,-0.0,1.0,0,1,8853.62,7929.18,8833.31,6695.4,82,67,107.97,9255.89,1161.63,9039.06,8290.18,57413.7,TRAIN
m-001,2025-12-17,8290.18,75.0,49.0,110.54,Food & Beverage,MICRO,Wednesday,2,12,17,0,0.9749,-0.2225,-0.0,1.0,0,1,7558.09,8853.62,9703.47,8422.28,59,83,128.1,9073.71,1327.15,8919.94,7602.29,57199.27,TRAIN
m-001,2025-12-18,7602.29,65.0,44.0,116.96,Food & Beverage,MICRO,Thursday,3,12,18,0,0.4339,-0.901,-0.0,1.0,0,1,8290.18,7558.09,11372.65,7681.97,75,72,110.54,8871.82,1322.88,8879.89,8372.78,62944.34,TRAIN
m-001,2025-12-19,8372.78,75.0,57.0,111.64,Food & Beverage,MICRO,Friday,4,12,19,0,-0.4339,-0.901,-0.0,1.0,0,1,7602.29,8290.18,8265.4,7405.64,65,71,116.96,8333.19,798.61,8862.3,10114.33,62498.41,TRAIN
m-001,2025-12-20,10114.33,87.0,61.0,116.26,Food & Beverage,MICRO,Saturday,5,12,20,1,-0.9749,-0.2225,-0.0,1.0,0,1,8372.78,7602.29,9833.59,10200.03,75,78,111.64,8348.53,798.13,8862.9,10506.59,62039.04,TRAIN
m-001,2025-12-21,10506.59,93.0,53.0,112.97,Food & Beverage,MICRO,Sunday,6,12,21,1,-0.7818,0.6235,-0.0,1.0,0,0,10114.33,8372.78,7929.18,11528.31,87,82,116.26,8388.64,887.26,8968.53,7732.21,63251.73,TRAIN
m-001,2025-12-22,7732.21,63.0,48.0,122.73,Food & Beverage,MICRO,Monday,0,12,22,0,0.0,1.0,-0.0,1.0,0,0,10506.59,10114.33,8853.62,5695.15,93,82,112.97,8756.84,1158.23,9058.43,4795.32,61952.45,TRAIN
m-001,2025-12-23,4795.32,52.0,38.0,92.22,Food & Beverage,MICRO,Tuesday,1,12,23,0,0.7818,0.6235,-0.0,1.0,0,0,7732.21,10506.59,7558.09,8833.31,63,59,122.73,8596.64,1218.6,8922.4,8075.75,64397.84,TRAIN
m-001,2025-12-24,8075.75,77.0,54.0,104.88,Food & Beverage,MICRO,Wednesday,2,12,24,0,0.9749,-0.2225,-0.0,1.0,0,0,4795.32,7732.21,8290.18,9703.47,52,75,92.22,8201.96,1879.31,8758.43,13347.36,71758.26,TRAIN
m-001,2025-12-25,13347.36,96.0,69.0,139.04,Food & Beverage,MICRO,Thursday,3,12,25,0,0.4339,-0.901,-0.0,1.0,1,0,8075.75,4795.32,7602.29,11372.65,77,65,104.88,8171.32,1879.38,8785.07,7926.85,70987.22,TRAIN
