campaign_id,merchant_id,merchant_category,merchant_size,campaign_type,target_segment,discount_type,discount_value,budget,revenue_before,actual_lift_percent,roi,is_recommended_success
camp-0051,m-019,Food & Beverage,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,15.0,5500.0,297270.55,4.9,0.33,False
camp-0052,m-020,Food & Beverage,MEDIUM,BASKET_SIZE_UPSELL,Dormant Regulars,PERCENTAGE,25.0,5500.0,248667.09,14.5,4.05,True
camp-0053,m-020,Food & Beverage,MEDIUM,EVENING_REVIVAL,Weekend Shoppers,FLAT,49.0,4200.0,238281.78,14.1,7.83,True
camp-0054,m-020,Food & Beverage,MEDIUM,SEASONAL_SPECIAL,Evening Commuters,PERCENTAGE,20.0,1500.0,302024.66,13.5,8.89,True
camp-0055,m-021,Grocery,MICRO,CUSTOM,Evening Commuters,PERCENTAGE,25.0,1500.0,232750.28,15.7,4.39,True
camp-0056,m-021,Grocery,MICRO,EVENING_REVIVAL,Evening Commuters,FLAT,50.0,5500.0,185092.06,29.6,4.88,True
camp-0057,m-021,Grocery,MICRO,CUSTOM,Evening Commuters,FLAT,50.0,4200.0,185029.14,5.5,1.17,False
camp-0058,m-021,Grocery,MICRO,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,10.0,4200.0,333186.07,15.9,7.71,True
camp-0059,m-022,Fashion,SMALL,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,10.0,5500.0,305344.32,27.1,3.83,True
camp-0060,m-022,Fashion,SMALL,CUSTOM,Evening Commuters,PERCENTAGE,20.0,2500.0,217776.48,3.8,-0.33,False
camp-0061,m-023,Grocery,MEDIUM,WEEKEND_SURGE,Loyal Champions,FLAT,49.0,4200.0,192896.89,8.1,1.14,False
camp-0062,m-023,Grocery,MEDIUM,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,25.0,5500.0,300028.88,20.6,8.27,True
camp-0063,m-023,Grocery,MEDIUM,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,25.0,2500.0,189822.24,14.7,8.83,True
camp-0064,m-023,Grocery,MEDIUM,EVENING_REVIVAL,Evening Commuters,FLAT,49.0,5500.0,305537.63,10.4,0.31,False
camp-0065,m-024,Grocery,MICRO,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,25.0,3500.0,248837.61,29.8,6.73,True
camp-0066,m-024,Grocery,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,25.0,5500.0,285078.48,23.1,8.12,True
camp-0067,m-024,Grocery,MICRO,RETENTION_WINBACK,Weekend Shoppers,PERCENTAGE,15.0,1500.0,304359.36,4.5,-0.22,False
camp-0068,m-025,Fashion,MICRO,CUSTOM,Weekend Shoppers,PERCENTAGE,20.0,7500.0,327053.38,8.3,0.91,False
camp-0069,m-025,Fashion,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,15.0,7500.0,257537.96,13.4,5.53,True
camp-0070,m-025,Fashion,MICRO,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,25.0,3500.0,307364.98,18.8,5.96,True
camp-0071,m-025,Fashion,MICRO,RETENTION_WINBACK,Dormant Regulars,FLAT,49.0,2500.0,344571.61,3.9,-0.5,False
camp-0072,m-026,Food & Beverage,MICRO,RETENTION_WINBACK,Weekend Shoppers,PERCENTAGE,20.0,1500.0,335626.31,10.5,0.3,False
camp-0073,m-026,Food & Beverage,MICRO,RETENTION_WINBACK,Dormant Regulars,FLAT,50.0,4200.0,193737.21,25.6,5.69,True
camp-0074,m-027,Grocery,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,15.0,5500.0,330177.38,13.0,8.19,True
camp-0075,m-027,Grocery,SMALL,CUSTOM,Weekend Shoppers,FLAT,50.0,1500.0,282677.18,17.5,9.6,True
camp-0076,m-027,Grocery,SMALL,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,20.0,7500.0,220559.59,10.8,0.41,False
camp-0077,m-027,Grocery,SMALL,EVENING_REVIVAL,Dormant Regulars,PERCENTAGE,15.0,5500.0,340532.01,9.3,0.9,False
camp-0078,m-028,Grocery,SMALL,CUSTOM,Weekend Shoppers,FLAT,50.0,4200.0,194829.54,14.6,9.1,True
camp-0079,m-028,Grocery,SMALL,WEEKEND_SURGE,Loyal Champions,PERCENTAGE,10.0,5500.0,315787.19,14.8,7.29,True
camp-0080,m-028,Grocery,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,PERCENTAGE,10.0,2500.0,289522.4,30.6,5.66,True
camp-0081,m-029,Grocery,SMALL,EVENING_REVIVAL,Dormant Regulars,PERCENTAGE,25.0,1500.0,230999.77,17.8,7.62,True
camp-0082,m-029,Grocery,SMALL,SEASONAL_SPECIAL,Evening Commuters,FLAT,49.0,1500.0,309480.92,19.8,6.88,True
camp-0083,m-030,Pharmacy,MICRO,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,15.0,3500.0,273318.4,5.7,0.29,False
camp-0084,m-030,Pharmacy,MICRO,BASKET_SIZE_UPSELL,Dormant Regulars,FLAT,49.0,2500.0,243611.36,25.2,3.85,True
camp-0085,m-031,Food & Beverage,SMALL,EVENING_REVIVAL,Weekend Shoppers,PERCENTAGE,15.0,7500.0,333046.44,6.3,1.12,False
camp-0086,m-031,Food & Beverage,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,20.0,2500.0,309638.8,19.2,4.17,True
camp-0087,m-031,Food & Beverage,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,FLAT,49.0,1500.0,194859.57,9.9,1.06,False
camp-0088,m-031,Food & Beverage,SMALL,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,15.0,7500.0,242383.76,3.1,-0.29,False
camp-0089,m-032,Fashion,SMALL,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,20.0,7500.0,336549.58,4.3,1.11,False
camp-0090,m-032,Fashion,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,10.0,3500.0,234397.26,22.0,8.79,True
camp-0091,m-032,Fashion,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,PERCENTAGE,20.0,1500.0,323320.83,3.4,0.42,False
camp-0092,m-032,Fashion,SMALL,CUSTOM,Weekend Shoppers,PERCENTAGE,10.0,7500.0,261492.55,2.9,-0.51,False
camp-0093,m-033,Fashion,SMALL,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,15.0,3500.0,230245.26,18.2,6.79,True
camp-0094,m-033,Fashion,SMALL,CUSTOM,Loyal Champions,FLAT,50.0,5500.0,182562.73,14.6,4.86,True
camp-0095,m-033,Fashion,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,20.0,2500.0,260471.45,22.9,4.02,True
camp-0096,m-033,Fashion,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,FLAT,49.0,2500.0,322668.16,12.8,5.46,True
camp-0097,m-034,Food & Beverage,MICRO,WEEKEND_SURGE,Dormant Regulars,FLAT,50.0,7500.0,290664.89,7.2,0.21,False
camp-0098,m-034,Food & Beverage,MICRO,CUSTOM,Evening Commuters,PERCENTAGE,10.0,2500.0,273079.04,14.6,7.7,True
camp-0099,m-034,Food & Beverage,MICRO,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,20.0,2500.0,304731.89,21.9,9.49,True
camp-0100,m-034,Food & Beverage,MICRO,SEASONAL_SPECIAL,Evening Commuters,FLAT,50.0,5500.0,318436.79,15.1,4.85,True
camp-0101,m-035,Fashion,MICRO,CUSTOM,Evening Commuters,PERCENTAGE,20.0,7500.0,331544.59,6.7,0.58,False
camp-0102,m-035,Fashion,MICRO,SEASONAL_SPECIAL,Evening Commuters,FLAT,49.0,2500.0,256484.84,8.8,0.44,False
camp-0103,m-036,Food & Beverage,MICRO,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,10.0,3500.0,287002.23,6.8,-0.14,False
camp-0104,m-036,Food & Beverage,MICRO,CUSTOM,Dormant Regulars,PERCENTAGE,25.0,7500.0,316267.39,19.5,6.3,True
camp-0105,m-037,Food & Beverage,MEDIUM,EVENING_REVIVAL,Dormant Regulars,FLAT,50.0,5500.0,214495.11,4.0,-0.17,False
camp-0106,m-037,Food & Beverage,MEDIUM,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,25.0,5500.0,197008.45,18.7,4.33,True
camp-0107,m-037,Food & Beverage,MEDIUM,CUSTOM,Loyal Champions,FLAT,50.0,1500.0,325617.25,13.5,6.61,True
camp-0108,m-037,Food & Beverage,MEDIUM,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,10.0,7500.0,243235.78,18.5,5.18,True
camp-0109,m-038,Services,SMALL,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,20.0,2500.0,232834.63,5.3,0.9,False
camp-0110,m-038,Services,SMALL,WEEKEND_SURGE,Evening Commuters,FLAT,50.0,5500.0,328805.72,12.2,9.12,True
camp-0111,m-038,Services,SMALL,CUSTOM,Weekend Shoppers,FLAT,50.0,4200.0,180973.18,11.1,0.93,False
camp-0112,m-038,Services,SMALL,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,20.0,1500.0,285995.32,4.0,-0.08,False
camp-0113,m-039,Services,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,PERCENTAGE,25.0,7500.0,198936.94,18.4,6.6,True
camp-0114,m-039,Services,SMALL,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,10.0,2500.0,191939.31,28.9,3.55,True
camp-0115,m-039,Services,SMALL,EVENING_REVIVAL,Weekend Shoppers,FLAT,49.0,3500.0,222899.53,6.3,0.93,False
camp-0116,m-040,Pharmacy,MEDIUM,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,15.0,3500.0,331722.62,7.0,0.26,False
camp-0117,m-040,Pharmacy,MEDIUM,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,15.0,5500.0,296302.34,27.2,7.61,True
camp-0118,m-040,Pharmacy,MEDIUM,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,25.0,2500.0,253914.73,19.0,5.35,True
camp-0119,m-040,Pharmacy,MEDIUM,BASKET_SIZE_UPSELL,Dormant Regulars,PERCENTAGE,10.0,2500.0,261847.35,15.3,4.48,True
camp-0120,m-041,Grocery,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,20.0,7500.0,224592.16,15.8,5.54,True
