merchant_id,date,daily_revenue,daily_transactions,unique_customers,avg_order_value,day_of_week,is_weekend,is_festival
m-001,2026-01-15,6949.28,67,49,103.72,Thursday,False,False
m-001,2026-01-16,9626.46,69,43,139.51,Friday,False,False
m-001,2026-01-17,10561.11,94,68,112.35,Saturday,True,False
m-001,2026-01-18,11458.5,92,63,124.55,Sunday,True,False
m-001,2026-01-19,7235.92,59,46,122.64,Monday,False,False
m-001,2026-01-20,8604.98,85,49,101.24,Tuesday,False,False
m-001,2026-01-21,7223.36,63,43,114.66,Wednesday,False,False
m-001,2026-01-22,8102.1,82,54,98.81,Thursday,False,False
m-001,2026-01-23,8764.14,72,48,121.72,Friday,False,False
m-001,2026-01-24,13901.31,114,69,121.94,Saturday,True,False
m-001,2026-01-25,11465.75,87,53,131.79,Sunday,True,False
m-001,2026-01-26,10362.43,73,52,141.95,Monday,False,False
m-001,2026-01-27,7493.48,66,40,113.54,Tuesday,False,False
m-001,2026-01-28,8315.66,67,47,124.11,Wednesday,False,False
m-001,2026-01-29,8345.31,66,53,126.44,Thursday,False,False
m-001,2026-01-30,7470.88,64,52,116.73,Friday,False,False
m-001,2026-01-31,11268.68,90,63,125.21,Saturday,True,False
m-001,2026-02-01,9786.17,87,59,112.48,Sunday,True,False
m-001,2026-02-02,7309.91,67,44,109.1,Monday,False,False
m-001,2026-02-03,6429.68,63,42,102.06,Tuesday,False,False
m-001,2026-02-04,10429.03,81,59,128.75,Wednesday,False,False
m-001,2026-02-05,6504.81,60,46,108.41,Thursday,False,False
m-001,2026-02-06,8787.11,80,56,109.84,Friday,False,False
m-001,2026-02-07,10068.02,87,55,115.72,Saturday,True,False
m-001,2026-02-08,9857.59,79,52,124.78,Sunday,True,False
m-001,2026-02-09,8622.79,74,44,116.52,Monday,False,False
m-001,2026-02-10,9733.01,77,48,126.4,Tuesday,False,False
m-001,2026-02-11,8049.84,74,48,108.78,Wednesday,False,False
m-001,2026-02-12,7589.72,61,45,124.42,Thursday,False,False
m-001,2026-02-13,7988.06,69,48,115.77,Friday,False,False
m-001,2026-02-14,16215.03,90,62,180.17,Saturday,True,False
m-001,2026-02-15,10180.4,98,69,103.88,Sunday,True,False
m-001,2026-02-16,10070.39,74,58,136.09,Monday,False,False
m-001,2026-02-17,7847.65,58,37,135.3,Tuesday,False,False
m-001,2026-02-18,6739.58,61,40,110.48,Wednesday,False,False
m-001,2026-02-19,8663.11,67,40,129.3,Thursday,False,False
m-001,2026-02-20,9271.36,72,50,128.77,Friday,False,False
m-001,2026-02-21,10627.85,98,62,108.45,Saturday,True,False
m-001,2026-02-22,10372.62,89,67,116.55,Sunday,True,False
m-001,2026-02-23,7319.1,55,38,133.07,Monday,False,False
m-001,2026-02-24,7644.51,71,52,107.67,Tuesday,False,False
m-001,2026-02-25,8197.7,70,51,117.11,Wednesday,False,False
m-001,2026-02-26,7247.59,65,38,111.5,Thursday,False,False
m-001,2026-02-27,10584.63,75,55,141.13,Friday,False,False
m-001,2026-02-28,10943.85,95,59,115.2,Saturday,True,False
m-001,2026-03-01,10068.53,87,58,115.73,Sunday,True,False
m-001,2026-03-02,5606.78,53,38,105.79,Monday,False,False
m-001,2026-03-03,9770.26,75,50,130.27,Tuesday,False,False
m-001,2026-03-04,16861.51,133,88,126.78,Wednesday,False,True
m-001,2026-03-05,6995.95,60,44,116.6,Thursday,False,False
m-001,2026-03-06,5869.49,60,40,97.82,Friday,False,False
m-001,2026-03-07,13957.09,98,67,142.42,Saturday,True,False
m-001,2026-03-08,9262.41,90,62,102.92,Sunday,True,False
m-001,2026-03-09,7259.6,57,40,127.36,Monday,False,False
m-001,2026-03-10,6558.84,63,44,104.11,Tuesday,False,False
m-001,2026-03-11,8995.81,79,57,113.87,Wednesday,False,False
m-001,2026-03-12,10282.0,75,53,137.09,Thursday,False,False
m-001,2026-03-13,6047.94,60,40,100.8,Friday,False,False
m-001,2026-03-14,12104.17,102,71,118.67,Saturday,True,False
m-001,2026-03-15,9059.91,81,57,111.85,Sunday,True,False
m-001,2026-03-16,9296.05,67,44,138.75,Monday,False,False
m-001,2026-03-17,7753.17,63,52,123.07,Tuesday,False,False
m-001,2026-03-18,8173.34,66,52,123.84,Wednesday,False,False
m-001,2026-03-19,10511.63,86,57,122.23,Thursday,False,False
m-001,2026-03-20,15527.73,132,97,117.63,Friday,False,True
m-001,2026-03-21,8804.92,84,60,104.82,Saturday,True,False
m-001,2026-03-22,10080.32,81,60,124.45,Sunday,True,False
m-001,2026-03-23,6771.22,66,40,102.59,Monday,False,False
m-001,2026-03-24,8553.7,74,43,115.59,Tuesday,False,False
m-001,2026-03-25,6937.03,62,32,111.89,Wednesday,False,False
m-001,2026-03-26,8010.76,64,44,125.17,Thursday,False,False
m-001,2026-03-27,7414.84,72,50,102.98,Friday,False,False
m-001,2026-03-28,13024.64,109,65,119.49,Saturday,True,False
m-001,2026-03-29,9776.15,81,55,120.69,Sunday,True,False
m-001,2026-03-30,8653.66,72,56,120.19,Monday,False,False
m-001,2026-03-31,7043.84,57,38,123.58,Tuesday,False,False
m-001,2026-04-01,9038.96,72,50,125.54,Wednesday,False,False
m-001,2026-04-02,8367.1,63,46,132.81,Thursday,False,False
m-001,2026-04-03,6951.81,61,43,113.96,Friday,False,False
m-001,2026-04-04,8770.01,82,67,106.95,Saturday,True,False
m-001,2026-04-05,9815.54,94,65,104.42,Sunday,True,False
m-001,2026-04-06,6988.67,63,45,110.93,Monday,False,False
m-001,2026-04-07,8438.16,74,49,114.03,Tuesday,False,False
m-001,2026-04-08,6696.65,57,39,117.49,Wednesday,False,False
m-001,2026-04-09,7773.05,79,53,98.39,Thursday,False,False
m-001,2026-04-10,8465.6,62,50,136.54,Friday,False,False
m-001,2026-04-11,10453.6,90,62,116.15,Saturday,True,False
m-001,2026-04-12,8664.67,79,52,109.68,Sunday,True,False
m-001,2026-04-13,8636.95,70,46,123.38,Monday,False,False
m-001,2026-04-14,6363.14,67,42,94.97,Tuesday,False,False
m-001,2026-04-15,10011.25,71,52,141.0,Wednesday,False,False
m-001,2026-04-16,8103.56,60,35,135.06,Thursday,False,False
m-001,2026-04-17,8192.29,70,49,117.03,Friday,False,False
m-001,2026-04-18,8584.72,81,54,105.98,Saturday,True,False
m-001,2026-04-19,11810.24,97,65,121.76,Sunday,True,False
m-001,2026-04-20,7611.67,66,45,115.33,Monday,False,False
m-001,2026-04-21,7658.32,63,43,121.56,Tuesday,False,False
m-001,2026-04-22,6688.68,61,44,109.65,Wednesday,False,False
m-001,2026-04-23,7504.84,69,47,108.77,Thursday,False,False
m-001,2026-04-24,10111.03,78,59,129.63,Friday,False,False
m-001,2026-04-25,11272.18,104,76,108.39,Saturday,True,False
m-001,2026-04-26,12491.52,97,70,128.78,Sunday,True,False
m-001,2026-04-27,7965.47,77,55,103.45,Monday,False,False
m-001,2026-04-28,8045.7,74,52,108.73,Tuesday,False,False
m-001,2026-04-29,7583.37,68,52,111.52,Wednesday,False,False
m-001,2026-04-30,7953.78,69,41,115.27,Thursday,False,False
m-001,2026-05-01,8193.47,66,43,124.14,Friday,False,False
m-001,2026-05-02,10311.12,93,69,110.87,Saturday,True,False
m-001,2026-05-03,8544.49,87,59,98.21,Sunday,True,False
m-001,2026-05-04,7896.22,70,49,112.8,Monday,False,False
m-001,2026-05-05,8477.72,67,41,126.53,Tuesday,False,False
m-001,2026-05-06,8250.7,69,47,119.58,Wednesday,False,False
m-001,2026-05-07,7932.43,75,53,105.77,Thursday,False,False
m-001,2026-05-08,9323.15,63,47,147.99,Friday,False,False
m-001,2026-05-09,9479.57,82,57,115.6,Saturday,True,False
m-001,2026-05-10,9980.02,97,65,102.89,Sunday,True,False
m-001,2026-05-11,9595.32,82,56,117.02,Monday,False,False
m-001,2026-05-12,7494.53,62,40,120.88,Tuesday,False,False
m-001,2026-05-13,8369.66,70,53,119.57,Wednesday,False,False
m-001,2026-05-14,9582.31,73,54,131.26,Thursday,False,False
m-001,2026-05-15,8296.35,72,54,115.23,Friday,False,False
m-001,2026-05-16,8402.69,78,60,107.73,Saturday,True,False
m-001,2026-05-17,8968.12,80,57,112.1,Sunday,True,False
m-001,2026-05-18,7237.96,66,45,109.67,Monday,False,False
m-001,2026-05-19,7937.96,72,53,110.25,Tuesday,False,False
m-001,2026-05-20,8222.3,67,48,122.72,Wednesday,False,False
m-001,2026-05-21,7783.81,64,47,121.62,Thursday,False,False
m-001,2026-05-22,7986.48,69,48,115.75,Friday,False,False
m-001,2026-05-23,9609.3,91,64,105.6,Saturday,True,False
m-001,2026-05-24,9607.21,78,58,123.17,Sunday,True,False
m-001,2026-05-25,6463.88,58,44,111.45,Monday,False,False
m-001,2026-05-26,7591.81,71,49,106.93,Tuesday,False,False
m-001,2026-05-27,7572.15,66,43,114.73,Wednesday,False,False
m-001,2026-05-28,9017.27,71,49,127.0,Thursday,False,False
m-001,2026-05-29,6476.77,62,38,104.46,Friday,False,False
m-001,2026-05-30,10843.37,85,56,127.57,Saturday,True,False
m-001,2026-05-31,8904.36,75,51,118.72,Sunday,True,False
m-001,2026-06-01,6805.84,72,44,94.53,Monday,False,False
m-001,2026-06-02,8331.69,67,46,124.35,Tuesday,False,False
m-001,2026-06-03,7378.9,62,41,119.01,Wednesday,False,False
m-001,2026-06-04,8209.46,68,41,120.73,Thursday,False,False
m-001,2026-06-05,8341.35,70,44,119.16,Friday,False,False
m-001,2026-06-06,13684.52,94,68,145.58,Saturday,True,False
m-001,2026-06-07,10587.72,93,66,113.85,Sunday,True,False
m-001,2026-06-08,5822.66,56,43,103.98,Monday,False,False
m-001,2026-06-09,6905.36,53,36,130.29,Tuesday,False,False
m-001,2026-06-10,6404.05,56,36,114.36,Wednesday,False,False
m-001,2026-06-11,9238.53,79,49,116.94,Thursday,False,False
m-001,2026-06-12,7535.62,59,37,127.72,Friday,False,False
m-001,2026-06-13,7856.58,71,51,110.66,Saturday,True,False
m-001,2026-06-14,13043.08,95,58,137.3,Sunday,True,False
m-001,2026-06-15,8329.04,71,51,117.31,Monday,False,False
m-001,2026-06-16,8816.3,71,46,124.17,Tuesday,False,False
m-001,2026-06-17,14394.65,62,41,232.17,Wednesday,False,False
m-001,2026-06-18,7337.78,64,43,114.65,Thursday,False,False
m-001,2026-06-19,7568.6,65,47,116.44,Friday,False,False
m-001,2026-06-20,11434.53,88,57,129.94,Saturday,True,False
m-001,2026-06-21,10106.09,93,67,108.67,Sunday,True,False
m-001,2026-06-22,8074.3,72,49,112.14,Monday,False,False
m-001,2026-06-23,7049.15,64,47,110.14,Tuesday,False,False
m-001,2026-06-24,9130.51,73,55,125.08,Wednesday,False,False
m-001,2026-06-25,8630.01,77,55,112.08,Thursday,False,False
m-001,2026-06-26,6997.12,65,45,107.65,Friday,False,False
m-001,2026-06-27,9476.39,86,56,110.19,Saturday,True,False
m-001,2026-06-28,7962.15,82,52,97.1,Sunday,True,False
m-001,2026-06-29,6213.27,62,47,100.21,Monday,False,False
m-001,2026-06-30,7342.1,61,45,120.36,Tuesday,False,False
m-001,2026-07-01,6943.64,58,40,119.72,Wednesday,False,False
m-001,2026-07-02,6291.4,63,43,99.86,Thursday,False,False
m-001,2026-07-03,6757.24,64,41,105.58,Friday,False,False
m-001,2026-07-04,10714.21,101,66,106.08,Saturday,True,False
m-001,2026-07-05,7088.22,90,68,78.76,Sunday,True,False
m-001,2026-07-06,4723.11,52,39,90.83,Monday,False,False
m-001,2026-07-07,7231.68,65,44,111.26,Tuesday,False,False
m-001,2026-07-08,5757.7,49,32,117.5,Wednesday,False,False
m-001,2026-07-09,8839.42,69,48,128.11,Thursday,False,False
m-001,2026-07-10,7678.5,75,56,102.38,Friday,False,False
m-001,2026-07-11,12203.44,90,59,135.59,Saturday,True,False
m-001,2026-07-12,13576.87,92,63,147.57,Sunday,True,False
m-001,2026-07-13,10169.69,75,52,135.6,Monday,False,False
m-001,2026-07-14,7512.84,67,42,112.13,Tuesday,False,False
m-001,2026-07-15,7930.78,63,39,125.89,Wednesday,False,False
m-001,2026-07-16,8767.07,73,46,120.1,Thursday,False,False
m-001,2026-07-17,6254.16,67,46,93.35,Friday,False,False
m-001,2026-07-18,10543.99,94,63,112.17,Saturday,True,False
m-001,2026-07-19,9067.77,73,55,124.22,Sunday,True,False
m-001,2026-07-20,6540.07,63,43,103.81,Monday,False,False
m-001,2026-07-21,6846.74,62,43,110.43,Tuesday,False,False
m-001,2026-07-22,7800.85,71,45,109.87,Wednesday,False,False
m-001,2026-07-23,8400.26,67,47,125.38,Thursday,False,False
m-001,2026-07-24,8538.11,72,50,118.58,Friday,False,False
m-001,2026-07-25,10469.99,91,68,115.05,Saturday,True,False
m-001,2026-07-26,11335.42,98,65,115.67,Sunday,True,False
m-001,2026-07-27,8206.3,71,56,115.58,Monday,False,False
m-001,2026-07-28,11698.55,84,57,139.27,Tuesday,False,False
m-001,2026-07-29,6498.11,61,43,106.53,Wednesday,False,False
m-001,2026-07-30,8004.19,71,49,112.74,Thursday,False,False
m-001,2026-07-31,6875.9,68,46,101.12,Friday,False,False
m-001,2026-08-01,10139.93,91,59,111.43,Saturday,True,False
m-001,2026-08-02,9645.2,92,69,104.84,Sunday,True,False
m-001,2026-08-03,6801.67,62,46,109.7,Monday,False,False
m-001,2026-08-04,8621.19,72,47,119.74,Tuesday,False,False
m-001,2026-08-05,8765.65,79,54,110.96,Wednesday,False,False
m-001,2026-08-06,7730.36,80,60,96.63,Thursday,False,False
m-001,2026-08-07,8441.04,71,47,118.89,Friday,False,False
m-001,2026-08-08,11642.77,104,74,111.95,Saturday,True,False
m-001,2026-08-09,8615.75,80,56,107.7,Sunday,True,False
m-001,2026-08-10,6250.4,57,41,109.66,Monday,False,False
m-001,2026-08-11,6690.83,65,46,102.94,Tuesday,False,False
m-001,2026-08-12,7705.07,69,47,111.67,Wednesday,False,False
m-001,2026-08-13,8257.12,67,44,123.24,Thursday,False,False
m-001,2026-08-14,7470.2,65,43,114.93,Friday,False,False
m-001,2026-08-15,15961.6,145,107,110.08,Saturday,True,True
m-001,2026-08-16,10256.86,86,64,119.27,Sunday,True,False
m-001,2026-08-17,8094.41,65,47,124.53,Monday,False,False
m-001,2026-08-18,7574.57,73,46,103.76,Tuesday,False,False
m-001,2026-08-19,8779.28,71,50,123.65,Wednesday,False,False
m-001,2026-08-20,6501.67,64,41,101.59,Thursday,False,False
m-001,2026-08-21,7392.21,66,43,112.0,Friday,False,False
m-001,2026-08-22,9772.98,90,57,108.59,Saturday,True,False
m-001,2026-08-23,7877.78,73,57,107.91,Sunday,True,False
m-001,2026-08-24,5357.08,63,42,85.03,Monday,False,False
m-001,2026-08-25,8881.15,71,46,125.09,Tuesday,False,False
m-001,2026-08-26,7699.57,60,40,128.33,Wednesday,False,False
m-001,2026-08-27,8588.73,67,52,128.19,Thursday,False,False
m-001,2026-08-28,13781.62,124,84,111.14,Friday,False,True
m-001,2026-08-29,13404.41,103,68,130.14,Saturday,True,False
m-001,2026-08-30,9162.0,76,54,120.55,Sunday,True,False
m-001,2026-08-31,8689.82,70,41,124.14,Monday,False,False
m-001,2026-09-01,8953.31,73,56,122.65,Tuesday,False,False
m-001,2026-09-02,7485.7,74,53,101.16,Wednesday,False,False
m-001,2026-09-03,7856.77,68,50,115.54,Thursday,False,False
m-001,2026-09-04,6899.95,54,36,127.78,Friday,False,False
m-001,2026-09-05,12062.22,96,68,125.65,Saturday,True,False
m-001,2026-09-06,10873.4,96,68,113.26,Sunday,True,False
m-001,2026-09-07,6408.88,62,50,103.37,Monday,False,False
m-001,2026-09-08,7309.66,67,49,109.1,Tuesday,False,False
m-001,2026-09-09,7720.86,69,49,111.9,Wednesday,False,False
m-001,2026-09-10,8548.01,74,52,115.51,Thursday,False,False
m-001,2026-09-11,8673.37,70,52,123.91,Friday,False,False
m-001,2026-09-12,9156.9,87,61,105.25,Saturday,True,False
m-001,2026-09-13,12196.05,94,65,129.75,Sunday,True,False
m-001,2026-09-14,7712.67,61,35,126.44,Monday,False,False
m-001,2026-09-15,9302.78,74,52,125.71,Tuesday,False,False
m-001,2026-09-16,8991.22,84,61,107.04,Wednesday,False,False
m-001,2026-09-17,6676.84,64,45,104.33,Thursday,False,False
m-002,2025-09-18,26794.68,24,19,1116.44,Thursday,False,False
m-002,2025-09-19,29678.86,21,14,1413.28,Friday,False,False
m-002,2025-09-20,46286.14,46,27,1006.22,Saturday,True,False
m-002,2025-09-21,49511.48,41,27,1207.6,Sunday,True,False
m-002,2025-09-22,33634.07,31,17,1084.97,Monday,False,False
m-002,2025-09-23,33199.5,26,20,1276.9,Tuesday,False,False
m-002,2025-09-24,20689.09,23,16,899.53,Wednesday,False,False
m-002,2025-09-25,31275.26,35,28,893.58,Thursday,False,False
m-002,2025-09-26,48663.0,41,32,1186.9,Friday,False,False
m-002,2025-09-27,49493.95,44,30,1124.86,Saturday,True,False
m-002,2025-09-28,60558.73,56,45,1081.41,Sunday,True,False
m-002,2025-09-29,31920.39,24,19,1330.02,Monday,False,False
m-002,2025-09-30,40416.16,28,20,1443.43,Tuesday,False,False
m-002,2025-10-01,27971.25,30,22,932.38,Wednesday,False,False
m-002,2025-10-02,26641.3,30,18,888.04,Thursday,False,False
m-002,2025-10-03,44737.82,37,26,1209.13,Friday,False,False
m-002,2025-10-04,38087.18,43,29,885.75,Saturday,True,False
m-002,2025-10-05,44065.71,34,24,1296.05,Sunday,True,False
m-002,2025-10-06,33758.62,33,21,1022.99,Monday,False,False
m-002,2025-10-07,34991.95,30,24,1166.4,Tuesday,False,False
m-002,2025-10-08,37414.58,32,21,1169.21,Wednesday,False,False
m-002,2025-10-09,33989.9,32,22,1062.18,Thursday,False,False
m-002,2025-10-10,36159.0,32,27,1129.97,Friday,False,False
m-002,2025-10-11,43905.66,39,24,1125.79,Saturday,True,False
m-002,2025-10-12,40303.92,43,30,937.3,Sunday,True,False
m-002,2025-10-13,28989.92,23,20,1260.43,Monday,False,False
m-002,2025-10-14,32550.46,36,17,904.18,Tuesday,False,False
m-002,2025-10-15,77814.51,41,29,1897.91,Wednesday,False,False
m-002,2025-10-16,28423.22,28,16,1015.12,Thursday,False,False
m-002,2025-10-17,30375.02,31,20,979.84,Friday,False,False
m-002,2025-10-18,39105.22,36,27,1086.26,Saturday,True,False
m-002,2025-10-19,45720.47,39,27,1172.32,Sunday,True,False
m-002,2025-10-20,59256.52,47,38,1260.78,Monday,False,True
m-002,2025-10-21,72487.48,67,48,1081.9,Tuesday,False,True
m-002,2025-10-22,71991.18,55,40,1308.93,Wednesday,False,True
m-002,2025-10-23,52815.5,46,35,1148.16,Thursday,False,False
m-002,2025-10-24,40970.39,37,26,1107.31,Friday,False,False
m-002,2025-10-25,45055.51,38,30,1185.67,Saturday,True,False
m-002,2025-10-26,43705.15,42,32,1040.6,Sunday,True,False
m-002,2025-10-27,54359.03,44,30,1235.43,Monday,False,False
m-002,2025-10-28,42923.38,34,26,1262.45,Tuesday,False,False
m-002,2025-10-29,47929.88,37,28,1295.4,Wednesday,False,False
m-002,2025-10-30,30897.98,24,17,1287.42,Thursday,False,False
m-002,2025-10-31,38402.1,28,18,1371.5,Friday,False,False
m-002,2025-11-01,39690.35,38,24,1044.48,Saturday,True,False
m-002,2025-11-02,36693.7,35,22,1048.39,Sunday,True,False
m-002,2025-11-03,44957.45,35,25,1284.5,Monday,False,False
m-002,2025-11-04,22622.25,21,13,1077.25,Tuesday,False,False
m-002,2025-11-05,29196.8,28,20,1042.74,Wednesday,False,False
m-002,2025-11-06,41706.54,33,27,1263.83,Thursday,False,False
m-002,2025-11-07,30169.87,23,18,1311.73,Friday,False,False
m-002,2025-11-08,45013.59,37,21,1216.58,Saturday,True,False
m-002,2025-11-09,39978.3,32,27,1249.32,Sunday,True,False
m-002,2025-11-10,39071.61,31,20,1260.37,Monday,False,False
