merchant_id,date,hour,transactions_count,total_revenue,avg_order_value,refund_count,day_of_week,day_of_week_num,is_weekend,rolling_24h_tx_mean,rolling_24h_tx_std,rolling_24h_rev_mean,rolling_24h_rev_std,z_score_tx,z_score_revenue,drop_ratio_vs_expected,is_anomaly,anomaly_type,severity,split
m-001,2025-09-20,12,10,1126.34,112.63,0,Saturday,5,1,4.71,3.28,592.91,388.36,1.61,1.37,1.123,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,13,11,1022.87,92.99,0,Saturday,5,1,4.88,3.44,603.45,399.58,1.78,1.05,1.254,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,14,10,970.51,97.05,0,Saturday,5,1,5.25,3.6,636.17,400.47,1.32,0.83,0.905,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,15,3,693.03,231.01,0,Saturday,5,1,5.58,3.66,662.64,400.7,-0.7,0.08,-0.462,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,16,2,296.43,148.22,0,Saturday,5,1,5.67,3.57,681.12,390.94,-1.03,-0.98,-0.647,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,17,3,314.99,105.0,0,Saturday,5,1,5.67,3.57,683.55,388.23,-0.75,-0.95,-0.471,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,18,7,509.59,72.8,0,Saturday,5,1,5.33,3.42,662.78,394.26,0.49,-0.39,0.313,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,19,5,363.64,72.73,0,Saturday,5,1,5.38,3.44,647.69,392.84,-0.11,-0.72,-0.071,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,20,10,724.01,72.4,0,Saturday,5,1,5.46,3.4,649.48,391.39,1.34,0.19,0.832,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,22,3,196.21,65.4,0,Saturday,5,1,5.79,3.44,660.85,389.33,-0.81,-1.19,-0.482,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,6,1,47.84,47.84,0,Sunday,6,1,5.38,3.12,613.44,372.71,-1.4,-1.52,-0.814,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,7,1,142.3,142.3,0,Sunday,6,1,5.04,3.14,566.57,370.04,-1.29,-1.15,-0.802,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,8,3,335.3,111.77,0,Sunday,6,1,4.96,3.22,554.65,379.18,-0.61,-0.58,-0.395,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,9,12,1406.26,117.19,0,Sunday,6,1,4.83,3.24,535.9,378.41,2.21,2.3,1.484,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,10,10,1379.32,137.93,0,Sunday,6,1,5.17,3.55,573.69,417.83,1.36,1.93,0.934,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,11,7,1008.25,144.04,0,Sunday,6,1,5.21,3.6,587.12,438.69,0.5,0.96,0.344,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,12,9,690.13,76.68,0,Sunday,6,1,5.38,3.59,620.75,438.75,1.01,0.16,0.673,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,13,13,1613.7,124.13,0,Sunday,6,1,5.62,3.62,630.39,437.58,2.04,2.25,1.313,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,14,2,185.7,92.85,0,Sunday,6,1,6.0,3.9,679.35,478.97,-1.03,-1.03,-0.667,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,15,3,301.16,100.39,0,Sunday,6,1,6.04,3.85,683.95,473.41,-0.79,-0.81,-0.503,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,17,5,602.04,120.41,0,Sunday,6,1,6.12,3.76,685.31,472.21,-0.3,-0.18,-0.183,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,18,9,1337.44,148.6,0,Sunday,6,1,6.17,3.74,694.06,468.47,0.76,1.37,0.459,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,19,7,645.56,92.22,0,Sunday,6,1,6.29,3.78,685.59,454.12,0.19,-0.09,0.113,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,20,4,284.96,71.24,0,Sunday,6,1,6.25,3.77,681.02,453.94,-0.6,-0.87,-0.36,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,21,4,618.94,154.74,0,Sunday,6,1,6.25,3.77,674.9,458.41,-0.6,-0.12,-0.36,0,NORMAL,NONE,TRAIN
m-001,2025-09-21,22,1,245.24,245.24,0,Sunday,6,1,6.0,3.71,653.76,448.28,-1.35,-0.91,-0.833,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,6,1,83.22,83.22,0,Monday,0,0,5.58,3.68,621.36,448.54,-1.24,-1.2,-0.821,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,8,7,938.96,134.14,0,Monday,0,0,5.21,3.67,584.39,455.03,0.49,0.78,0.344,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,9,9,881.1,97.9,0,Monday,0,0,5.38,3.66,594.63,460.32,0.99,0.62,0.673,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,10,7,864.1,123.44,0,Monday,0,0,5.67,3.66,618.99,459.33,0.36,0.53,0.235,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,11,5,252.3,50.46,0,Monday,0,0,5.83,3.62,641.87,457.19,-0.23,-0.85,-0.142,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,12,6,554.61,92.44,0,Monday,0,0,5.75,3.61,631.15,463.41,0.07,-0.17,0.043,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,13,8,937.77,117.22,0,Monday,0,0,5.79,3.61,639.11,460.24,0.61,0.65,0.382,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,14,6,458.48,76.41,0,Monday,0,0,5.71,3.53,648.02,464.01,0.08,-0.41,0.051,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,15,3,263.13,87.71,0,Monday,0,0,5.83,3.48,658.94,455.92,-0.81,-0.87,-0.485,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,16,4,325.5,81.38,0,Monday,0,0,5.92,3.39,667.92,445.37,-0.57,-0.77,-0.324,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,17,5,712.46,142.49,0,Monday,0,0,6.04,3.25,675.55,437.47,-0.32,0.08,-0.172,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,18,7,747.88,106.84,0,Monday,0,0,6.12,3.19,691.26,431.45,0.28,0.13,0.144,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,19,7,817.19,116.74,0,Monday,0,0,5.92,2.95,663.83,404.08,0.37,0.38,0.182,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,20,6,821.8,136.97,0,Monday,0,0,5.79,2.83,640.41,376.13,0.07,0.48,0.036,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,21,2,85.72,42.86,0,Monday,0,0,5.75,2.82,632.64,370.07,-1.33,-1.48,-0.652,0,NORMAL,NONE,TRAIN
m-001,2025-09-22,22,1,110.94,110.94,0,Monday,0,0,5.46,2.83,607.46,386.21,-1.58,-1.29,-0.817,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,6,1,105.57,105.57,0,Tuesday,1,0,4.96,2.48,544.84,334.3,-1.6,-1.31,-0.798,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,8,2,162.29,81.15,0,Tuesday,1,0,4.92,2.54,541.5,338.42,-1.15,-1.12,-0.593,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,9,8,923.41,115.43,0,Tuesday,1,0,4.88,2.58,535.72,343.85,1.21,1.13,0.639,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,10,7,573.62,81.95,0,Tuesday,1,0,5.0,2.65,549.11,352.69,0.75,0.07,0.4,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,11,1,83.22,83.22,0,Tuesday,1,0,4.92,2.55,517.28,310.39,-1.54,-1.4,-0.797,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,12,7,897.51,128.22,0,Tuesday,1,0,4.67,2.63,493.85,321.32,0.89,1.26,0.499,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,13,8,1239.23,154.9,0,Tuesday,1,0,4.79,2.67,519.37,328.26,1.2,2.19,0.67,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,14,5,310.98,62.2,0,Tuesday,1,0,4.96,2.74,545.22,359.38,0.01,-0.65,0.008,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,15,2,265.06,132.53,0,Tuesday,1,0,5.12,2.61,547.96,357.24,-1.2,-0.79,-0.609,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,16,4,292.97,73.24,0,Tuesday,1,0,5.17,2.55,555.53,348.78,-0.46,-0.75,-0.226,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,17,8,737.7,92.21,0,Tuesday,1,0,5.04,2.53,528.62,342.78,1.17,0.61,0.587,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,18,5,1150.1,230.02,0,Tuesday,1,0,5.0,2.47,522.64,337.58,0.0,1.86,0.0,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,19,5,622.55,124.51,0,Tuesday,1,0,4.92,2.43,534.56,354.77,0.03,0.25,0.016,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,20,5,1007.6,201.52,0,Tuesday,1,0,4.92,2.43,549.99,349.98,0.03,1.31,0.016,0,NORMAL,NONE,TRAIN
m-001,2025-09-23,22,1,284.6,284.6,0,Tuesday,1,0,4.88,2.42,568.86,362.24,-1.6,-0.78,-0.795,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,6,1,35.57,35.57,0,Wednesday,2,0,4.58,2.45,541.65,357.83,-1.46,-1.41,-0.782,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,7,1,36.39,36.39,0,Wednesday,2,0,4.38,2.53,524.02,372.22,-1.34,-1.31,-0.772,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,8,3,241.82,80.61,0,Wednesday,2,0,4.29,2.61,514.58,381.88,-0.49,-0.71,-0.301,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,9,6,525.44,87.57,0,Wednesday,2,0,4.25,2.63,511.09,384.06,0.67,0.04,0.412,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,10,2,160.26,80.13,0,Wednesday,2,0,4.29,2.65,503.3,381.69,-0.86,-0.9,-0.534,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,11,6,665.83,110.97,0,Wednesday,2,0,4.08,2.62,478.81,384.16,0.73,0.49,0.471,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,12,4,357.64,89.41,0,Wednesday,2,0,4.04,2.58,472.51,379.57,-0.02,-0.3,-0.01,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,13,3,484.71,161.57,0,Wednesday,2,0,3.96,2.54,453.17,372.77,-0.38,0.08,-0.242,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,14,7,1191.19,170.17,1,Wednesday,2,0,4.0,2.52,469.79,364.47,1.19,1.98,0.75,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,15,3,431.36,143.79,0,Wednesday,2,0,4.25,2.51,514.8,384.39,-0.5,-0.22,-0.294,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,16,2,185.96,92.98,0,Wednesday,2,0,4.33,2.43,528.38,374.94,-0.96,-0.91,-0.538,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,17,4,412.85,103.21,0,Wednesday,2,0,4.33,2.43,529.36,373.97,-0.14,-0.31,-0.076,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,18,4,733.06,183.26,1,Wednesday,2,0,4.17,2.3,508.09,364.99,-0.07,0.62,-0.041,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,19,9,685.33,76.15,0,Wednesday,2,0,4.04,2.22,514.73,367.68,2.23,0.46,1.228,0,NORMAL,NONE,TRAIN
m-001,2025-09-24,20,6,532.83,88.8,0,Wednesday,2,0,4.38,2.34,539.82,357.35,0.69,-0.02,0.37,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,7,1,101.06,101.06,0,Thursday,3,0,4.33,2.3,524.63,349.14,-1.45,-1.21,-0.769,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,8,2,138.7,69.35,0,Thursday,3,0,4.04,2.26,477.2,324.27,-0.9,-1.04,-0.505,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,9,8,633.4,79.18,0,Thursday,3,0,3.92,2.28,470.02,329.96,1.79,0.5,1.041,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,10,5,694.81,138.96,0,Thursday,3,0,4.17,2.39,485.37,328.58,0.35,0.64,0.199,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,11,3,416.07,138.69,0,Thursday,3,0,4.21,2.4,502.12,328.59,-0.5,-0.26,-0.287,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,12,3,160.76,53.59,0,Thursday,3,0,4.0,2.27,488.71,325.1,-0.44,-1.01,-0.25,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,13,7,783.9,111.99,0,Thursday,3,0,3.92,2.26,447.49,299.29,1.36,1.12,0.786,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,14,4,403.05,100.76,0,Thursday,3,0,4.0,2.34,454.21,305.15,0.0,-0.17,0.0,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,15,3,495.02,165.01,0,Thursday,3,0,3.96,2.33,429.02,281.52,-0.41,0.23,-0.242,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,17,5,859.08,171.82,0,Thursday,3,0,4.04,2.26,437.79,280.1,0.42,1.5,0.238,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,18,10,1083.6,108.36,0,Thursday,3,0,4.21,2.17,472.1,279.12,2.67,2.19,1.375,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,19,2,193.14,96.57,0,Thursday,3,0,4.58,2.36,515.74,289.7,-1.09,-1.11,-0.563,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,20,6,538.29,89.72,0,Thursday,3,0,4.54,2.4,513.71,291.86,0.61,0.08,0.322,0,NORMAL,NONE,TRAIN
m-001,2025-09-25,21,1,35.19,35.19,0,Thursday,3,0,4.54,2.4,514.25,291.9,-1.48,-1.64,-0.78,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,7,1,113.18,113.18,0,Friday,4,0,4.5,2.45,509.03,299.51,-1.43,-1.32,-0.778,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,8,4,351.44,87.86,0,Friday,4,0,4.29,2.53,486.01,308.05,-0.11,-0.44,-0.068,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,9,13,1539.45,118.42,0,Friday,4,0,4.29,2.53,485.75,308.17,3.44,3.42,2.03,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,10,11,1471.06,133.73,0,Friday,4,0,4.71,3.07,529.7,375.8,2.05,2.5,1.335,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,11,5,527.28,105.46,0,Friday,4,0,4.88,3.3,541.36,400.73,0.04,-0.04,0.025,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,12,2,121.67,60.84,0,Friday,4,0,4.96,3.28,545.35,400.07,-0.9,-1.06,-0.597,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,13,7,1534.28,219.18,0,Friday,4,0,4.96,3.28,542.68,402.78,0.62,2.46,0.411,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,14,6,736.18,122.7,0,Friday,4,0,5.08,3.3,589.4,449.42,0.28,0.33,0.181,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,15,2,163.71,81.86,0,Friday,4,0,5.17,3.29,589.53,449.46,-0.96,-0.95,-0.613,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,16,3,147.33,49.11,0,Friday,4,0,4.88,3.25,567.8,457.17,-0.58,-0.92,-0.385,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,17,3,306.01,102.0,0,Friday,4,0,4.75,3.26,551.74,465.16,-0.54,-0.53,-0.368,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,18,8,849.66,106.21,0,Friday,4,0,4.83,3.19,560.28,458.35,0.99,0.63,0.656,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,19,8,825.46,103.18,0,Friday,4,0,5.08,3.19,589.9,452.87,0.92,0.52,0.575,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,21,1,36.39,36.39,0,Friday,4,0,5.08,3.19,597.9,455.36,-1.28,-1.23,-0.803,0,NORMAL,NONE,TRAIN
m-001,2025-09-26,22,1,37.64,37.64,0,Friday,4,0,4.92,3.3,570.47,468.9,-1.19,-1.14,-0.797,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,6,1,35.19,35.19,0,Saturday,5,1,4.83,3.37,554.7,480.53,-1.14,-1.08,-0.793,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,8,4,423.73,105.93,0,Saturday,5,1,4.75,3.44,549.47,485.67,-0.22,-0.26,-0.158,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,9,18,1828.56,101.59,0,Saturday,5,1,4.62,3.41,534.46,483.67,3.92,2.68,2.896,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,10,11,1095.68,99.61,0,Saturday,5,1,5.21,4.36,593.86,549.83,1.33,0.91,1.111,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,11,2,106.71,53.36,0,Saturday,5,1,5.54,4.49,618.88,558.74,-0.79,-0.92,-0.639,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,12,6,759.21,126.54,0,Saturday,5,1,5.42,4.55,587.53,565.74,0.13,0.3,0.107,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,13,6,489.69,81.62,0,Saturday,5,1,5.25,4.45,574.02,557.18,0.17,-0.15,0.143,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,14,8,957.07,119.63,0,Saturday,5,1,5.42,4.39,586.37,551.63,0.59,0.67,0.476,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,15,4,592.78,148.2,0,Saturday,5,1,5.5,4.42,603.82,556.64,-0.34,-0.02,-0.273,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,16,5,535.34,107.07,0,Saturday,5,1,5.62,4.33,627.06,543.35,-0.14,-0.17,-0.11,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,17,6,1436.7,239.45,0,Saturday,5,1,5.79,4.22,644.65,532.72,0.05,1.49,0.036,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,18,8,539.65,67.46,0,Saturday,5,1,5.88,4.2,689.87,552.45,0.5,-0.27,0.361,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,19,6,571.02,95.17,0,Saturday,5,1,5.67,3.95,648.21,522.48,0.08,-0.15,0.058,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,20,6,444.11,74.02,0,Saturday,5,1,5.46,3.79,610.71,492.28,0.14,-0.34,0.099,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,21,3,354.46,118.15,0,Saturday,5,1,5.5,3.79,607.24,493.18,-0.66,-0.51,-0.455,0,NORMAL,NONE,TRAIN
m-001,2025-09-27,22,1,261.24,261.24,0,Saturday,5,1,5.54,3.75,616.94,485.45,-1.21,-0.73,-0.819,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,7,2,201.98,100.99,0,Sunday,6,1,5.29,3.85,563.9,449.04,-0.85,-0.81,-0.622,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,8,7,850.07,121.44,0,Sunday,6,1,5.12,3.9,541.64,453.35,0.48,0.68,0.367,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,9,10,1546.43,154.64,0,Sunday,6,1,5.33,3.86,570.24,450.11,1.21,2.17,0.876,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,10,10,726.56,72.66,0,Sunday,6,1,5.62,3.94,628.53,482.4,1.11,0.2,0.779,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,11,8,631.57,78.95,0,Sunday,6,1,5.92,4.0,646.06,477.79,0.52,-0.03,0.351,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,12,5,442.1,88.42,0,Sunday,6,1,5.92,4.0,636.97,475.82,-0.23,-0.41,-0.155,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,13,9,1276.75,141.86,0,Sunday,6,1,5.79,3.98,621.0,475.65,0.81,1.38,0.554,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,14,9,740.3,82.26,0,Sunday,6,1,6.12,3.89,672.68,476.75,0.74,0.14,0.471,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,15,2,321.32,160.66,0,Sunday,6,1,6.46,3.78,701.95,457.23,-1.18,-0.83,-0.69,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,16,4,353.25,88.31,0,Sunday,6,1,6.5,3.72,713.88,442.59,-0.67,-0.81,-0.385,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,17,6,639.34,106.56,0,Sunday,6,1,6.5,3.72,710.94,444.83,-0.13,-0.16,-0.077,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,18,8,923.26,115.41,0,Sunday,6,1,6.0,2.8,661.39,375.8,0.71,0.7,0.333,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,19,6,562.96,93.83,0,Sunday,6,1,5.88,2.63,654.2,368.71,0.05,-0.25,0.02,0,NORMAL,NONE,TRAIN
m-001,2025-09-28,20,5,883.1,176.62,0,Sunday,6,1,6.04,2.49,673.22,350.58,-0.42,0.6,-0.172,0,NORMAL,NONE,TRAIN
