customer_id,merchant_id,recency_days,frequency,monetary_value,avg_ticket_size,tenure_days,rfm_segment,churn_risk_score
cust-00061,m-001,31,9,1316.39,146.27,347,AT_RISK,11.91
cust-00062,m-001,48,12,2047.96,170.66,361,AT_RISK,15.57
cust-00063,m-001,35,7,720.38,102.91,312,AT_RISK,14.93
cust-00064,m-001,165,3,396.96,132.32,294,INACTIVE,63.43
cust-00065,m-001,54,9,866.21,96.25,277,AT_RISK,22.42
cust-00066,m-001,31,9,908.05,100.89,360,AT_RISK,11.59
cust-00067,m-001,48,13,1730.88,133.14,364,AT_RISK,15.29
cust-00068,m-001,32,12,1118.46,93.2,338,AT_RISK,11.75
cust-00069,m-001,118,11,1167.66,106.15,289,INACTIVE,43.19
cust-00070,m-001,61,7,819.71,117.1,359,INACTIVE,20.69
cust-00071,m-001,118,15,2109.7,140.65,331,INACTIVE,37.42
cust-00072,m-001,31,15,2112.75,140.85,348,AT_RISK,10.76
cust-00073,m-001,65,9,1063.78,118.2,294,INACTIVE,25.03
cust-00074,m-001,42,12,1352.48,112.71,298,AT_RISK,16.35
cust-00075,m-001,43,11,1483.62,134.87,326,AT_RISK,15.65
cust-00076,m-001,88,11,1270.32,115.48,363,INACTIVE,26.68
cust-00077,m-001,61,21,1826.69,86.99,329,INACTIVE,19.85
cust-00078,m-001,118,11,1575.16,143.2,361,INACTIVE,35.1
cust-00079,m-001,111,16,1809.8,113.11,353,INACTIVE,33.12
cust-00080,m-001,127,8,1124.97,140.62,340,INACTIVE,40.58
cust-00081,m-001,37,10,1181.24,118.12,363,AT_RISK,12.89
cust-00082,m-001,53,10,1493.17,149.32,340,AT_RISK,18.27
cust-00083,m-001,92,13,1350.28,103.87,356,INACTIVE,27.91
cust-00084,m-001,85,12,890.44,74.2,354,INACTIVE,26.25
cust-00085,m-001,39,11,1486.56,135.14,361,AT_RISK,13.27
cust-00086,m-001,67,6,791.39,131.9,297,INACTIVE,26.77
cust-00087,m-001,49,12,1213.37,101.11,341,AT_RISK,16.64
cust-00088,m-001,50,12,978.83,81.57,331,AT_RISK,17.37
cust-00089,m-001,32,9,896.65,99.63,348,AT_RISK,12.17
cust-00090,m-001,33,13,1482.47,114.04,360,AT_RISK,11.28
cust-00091,m-001,62,12,1309.68,109.14,354,INACTIVE,19.77
cust-00092,m-001,35,9,1703.84,189.32,331,AT_RISK,13.54
cust-00093,m-001,33,11,1175.6,106.87,243,AT_RISK,16.02
cust-00094,m-001,132,6,623.65,103.94,297,INACTIVE,48.58
cust-00095,m-001,77,8,1306.23,163.28,332,INACTIVE,26.46
cust-00096,m-001,54,5,539.54,107.91,302,AT_RISK,22.82
cust-00097,m-001,51,11,1203.96,109.45,328,AT_RISK,18.0
cust-00098,m-001,32,16,2283.02,142.69,331,AT_RISK,11.4
cust-00099,m-001,154,2,136.25,68.12,272,INACTIVE,66.41
cust-00100,m-001,33,13,1545.03,118.85,319,AT_RISK,12.46
cust-00101,m-001,31,7,484.35,69.19,297,AT_RISK,14.15
cust-00102,m-001,59,13,976.69,75.13,284,AT_RISK,22.84
cust-00103,m-001,43,6,899.72,149.95,341,AT_RISK,16.86
cust-00104,m-001,71,16,1643.9,102.74,360,INACTIVE,21.43
cust-00105,m-001,57,13,815.31,62.72,359,AT_RISK,17.98
cust-00106,m-001,110,8,624.02,78.0,357,INACTIVE,34.06
cust-00107,m-001,70,8,834.2,104.28,354,INACTIVE,23.05
cust-00108,m-001,62,10,823.24,82.32,346,INACTIVE,20.59
cust-00109,m-001,66,10,1190.05,119.0,330,INACTIVE,22.67
cust-00110,m-001,51,16,1653.97,103.37,328,AT_RISK,17.27
cust-00111,m-001,55,16,1636.97,102.31,351,AT_RISK,17.39
cust-00112,m-001,77,9,835.5,92.83,352,INACTIVE,24.81
cust-00113,m-001,50,11,952.01,86.55,344,AT_RISK,16.99
cust-00114,m-001,56,9,1136.96,126.33,334,AT_RISK,19.72
cust-00115,m-001,88,8,701.49,87.69,332,INACTIVE,29.76
cust-00116,m-001,37,12,1324.21,110.35,353,AT_RISK,12.76
cust-00117,m-001,52,12,1327.09,110.59,364,AT_RISK,16.55
cust-00118,m-001,31,10,1818.35,181.83,343,AT_RISK,11.74
cust-00119,m-001,40,10,986.62,98.66,352,AT_RISK,14.06
cust-00120,m-001,88,7,1258.4,179.77,305,INACTIVE,32.51
cust-00121,m-001,68,12,1842.46,153.54,350,INACTIVE,21.68
cust-00122,m-001,35,17,1973.64,116.1,355,AT_RISK,11.5
cust-00123,m-001,38,13,1185.87,91.22,356,AT_RISK,12.79
cust-00124,m-001,47,8,838.86,104.86,234,AT_RISK,23.33
cust-00125,m-001,47,9,884.75,98.31,357,AT_RISK,16.13
cust-00126,m-001,38,10,1245.57,124.56,312,AT_RISK,14.87
cust-00127,m-001,40,8,1516.86,189.61,361,AT_RISK,14.38
cust-00128,m-001,37,12,2153.71,179.48,327,AT_RISK,13.59
cust-00129,m-001,32,15,2014.81,134.32,315,AT_RISK,12.0
cust-00130,m-001,84,7,855.52,122.22,361,INACTIVE,26.95
cust-00131,m-001,33,11,957.88,87.08,348,AT_RISK,11.96
cust-00132,m-001,56,13,2163.09,166.39,320,AT_RISK,19.59
cust-00133,m-001,48,11,1347.16,122.47,329,AT_RISK,17.05
cust-00134,m-001,38,13,1054.31,81.1,333,AT_RISK,13.52
cust-00135,m-001,66,13,1425.5,109.65,344,INACTIVE,21.27
cust-00136,m-001,33,11,876.4,79.67,337,AT_RISK,12.26
cust-00137,m-001,33,14,1270.18,90.73,360,AT_RISK,11.14
cust-00138,m-001,82,9,969.12,107.68,275,INACTIVE,32.71
cust-00139,m-001,61,7,504.89,72.13,364,INACTIVE,20.46
cust-00140,m-001,72,14,1934.35,138.17,336,INACTIVE,23.36
cust-00141,m-001,44,11,1515.51,137.77,364,AT_RISK,14.55
cust-00142,m-001,48,17,1034.22,60.84,363,AT_RISK,14.85
cust-00143,m-001,40,12,794.74,66.23,297,AT_RISK,15.73
cust-00144,m-001,68,16,1929.06,120.57,354,INACTIVE,20.92
cust-00145,m-001,71,9,1271.61,141.29,322,INACTIVE,24.98
cust-00146,m-001,52,11,1536.47,139.68,346,AT_RISK,17.49
cust-00147,m-001,50,11,1518.73,138.07,347,AT_RISK,16.87
cust-00148,m-001,65,9,732.88,81.43,333,INACTIVE,22.46
cust-00149,m-001,42,19,1407.16,74.06,349,AT_RISK,13.5
cust-00150,m-001,103,7,603.41,86.2,342,INACTIVE,33.78
cust-00151,m-001,80,7,787.14,112.45,284,INACTIVE,31.82
cust-00152,m-001,35,15,2245.9,149.73,347,AT_RISK,11.93
cust-00153,m-001,59,15,1375.85,91.72,341,AT_RISK,19.13
cust-00154,m-001,50,9,747.31,83.03,351,AT_RISK,17.2
cust-00155,m-001,80,17,2572.58,151.33,362,INACTIVE,23.71
cust-00156,m-001,33,10,991.2,99.12,340,AT_RISK,12.4
cust-00157,m-001,58,15,2325.17,155.01,320,AT_RISK,19.94
cust-00158,m-001,42,12,1178.1,98.18,331,AT_RISK,14.96
cust-00159,m-001,50,7,696.81,99.54,340,AT_RISK,18.41
cust-00160,m-001,78,14,1791.6,127.97,361,INACTIVE,23.55
cust-00161,m-001,144,5,629.84,125.97,347,INACTIVE,46.38
cust-00162,m-001,38,8,808.64,101.08,289,AT_RISK,16.44
cust-00163,m-001,36,23,2438.78,106.03,361,AT_RISK,11.19
cust-00164,m-001,55,9,1204.84,133.87,313,AT_RISK,20.52
cust-00165,m-001,50,11,1883.44,171.22,350,AT_RISK,16.75
cust-00166,m-001,85,10,1536.19,153.62,360,INACTIVE,26.27
cust-00167,m-001,97,11,820.6,74.6,350,INACTIVE,30.14
cust-00168,m-001,50,12,1306.48,108.87,361,AT_RISK,16.12
cust-00169,m-001,76,11,784.78,71.34,348,INACTIVE,24.28
cust-00170,m-001,39,20,2056.88,102.84,352,AT_RISK,12.48
cust-00171,m-001,44,16,2222.07,138.88,361,AT_RISK,13.92
cust-00172,m-001,45,7,1292.98,184.71,362,AT_RISK,16.15
cust-00173,m-001,68,12,1101.05,91.75,295,INACTIVE,25.28
cust-00174,m-001,73,11,829.57,75.42,346,INACTIVE,23.54
cust-00175,m-001,80,9,1064.63,118.29,305,INACTIVE,29.14
cust-00176,m-001,51,9,593.89,65.99,294,AT_RISK,20.29
cust-00177,m-001,40,16,1894.01,118.38,341,AT_RISK,13.46
cust-00178,m-001,35,8,709.38,88.67,354,AT_RISK,13.19
cust-00179,m-001,122,8,939.04,117.38,356,INACTIVE,37.51
cust-00180,m-001,110,8,1061.64,132.71,339,INACTIVE,35.69
cust-00181,m-001,146,14,1093.81,78.13,314,INACTIVE,48.35
cust-00182,m-001,65,10,862.82,86.28,305,INACTIVE,23.97
cust-00183,m-001,45,8,845.67,105.71,340,AT_RISK,16.53
cust-00184,m-001,123,7,717.78,102.54,361,INACTIVE,37.73
cust-00185,m-001,122,7,629.31,89.9,364,INACTIVE,37.17
cust-00186,m-001,56,10,1061.16,106.12,336,AT_RISK,19.34
cust-00187,m-001,74,14,1240.74,88.62,359,INACTIVE,22.56
cust-00188,m-001,57,14,1296.58,92.61,352,AT_RISK,18.15
cust-00189,m-001,120,10,1215.41,121.54,336,INACTIVE,38.34
cust-00190,m-001,55,7,1135.07,162.15,361,AT_RISK,18.94
cust-00191,m-001,73,9,788.29,87.59,349,INACTIVE,23.86
cust-00192,m-001,60,11,1130.48,102.77,345,AT_RISK,19.84
cust-00193,m-001,43,16,1556.21,97.26,346,AT_RISK,14.16
cust-00194,m-001,44,13,1306.91,100.53,311,AT_RISK,16.25
cust-00195,m-001,45,17,1426.65,83.92,357,AT_RISK,14.24
cust-00196,m-001,51,8,1000.63,125.08,331,AT_RISK,18.69
cust-00197,m-001,47,11,1172.56,106.6,344,AT_RISK,16.12
cust-00198,m-001,46,17,1987.54,116.91,356,AT_RISK,14.55
cust-00199,m-001,33,14,1603.13,114.51,355,AT_RISK,11.27
cust-00200,m-001,70,9,876.01,97.33,339,INACTIVE,23.59
cust-00201,m-001,37,7,563.96,80.57,362,AT_RISK,13.94
cust-00202,m-001,39,12,1366.73,113.89,352,AT_RISK,13.36
cust-00203,m-001,60,13,1505.61,115.82,364,AT_RISK,18.58
cust-00204,m-001,84,10,781.56,78.16,300,INACTIVE,30.63
cust-00205,m-001,40,17,2039.2,119.95,356,AT_RISK,12.87
cust-00206,m-001,46,12,1457.25,121.44,359,AT_RISK,15.09
cust-00207,m-001,36,7,955.43,136.49,312,AT_RISK,15.25
cust-00208,m-001,48,7,681.99,97.43,364,AT_RISK,16.9
cust-00209,m-001,42,14,1406.81,100.49,348,AT_RISK,14.03
cust-00210,m-001,75,10,1446.8,144.68,339,INACTIVE,24.79
cust-00211,m-001,33,15,2076.07,138.4,364,AT_RISK,10.92
cust-00212,m-001,171,6,810.52,135.09,326,INACTIVE,56.58
cust-00213,m-001,43,11,918.42,83.49,362,AT_RISK,14.35
cust-00214,m-001,36,8,921.13,115.14,342,AT_RISK,13.83
cust-00215,m-001,31,14,1667.58,119.11,363,AT_RISK,10.52
cust-00216,m-001,71,14,1846.69,131.91,357,INACTIVE,21.83
cust-00217,m-001,37,14,1208.15,86.3,360,AT_RISK,12.25
cust-00218,m-001,114,8,1222.13,152.77,359,INACTIVE,35.0
cust-00219,m-001,39,6,833.21,138.87,331,AT_RISK,16.03
cust-00220,m-001,80,9,1218.92,135.44,334,INACTIVE,26.88
cust-00221,m-001,65,11,1081.6,98.33,337,INACTIVE,21.73
cust-00222,m-001,40,10,1185.67,118.57,300,AT_RISK,16.02
cust-00223,m-001,59,11,1338.19,121.65,359,AT_RISK,18.89
cust-00224,m-001,42,7,493.75,70.54,334,AT_RISK,16.29
cust-00225,m-001,31,10,965.82,96.58,319,AT_RISK,12.41
cust-00226,m-001,32,11,1481.18,134.65,359,AT_RISK,11.39
cust-00227,m-001,70,6,646.09,107.68,346,INACTIVE,24.46
cust-00228,m-001,126,7,943.71,134.82,279,INACTIVE,48.75
cust-00229,m-001,60,9,986.27,109.59,357,AT_RISK,19.76
cust-00230,m-001,31,13,1502.92,115.61,361,AT_RISK,10.71
cust-00231,m-001,62,7,751.95,107.42,303,INACTIVE,24.14
cust-00232,m-001,58,15,2491.17,166.08,358,AT_RISK,18.03
cust-00233,m-001,37,10,1297.01,129.7,335,AT_RISK,13.74
cust-00234,m-001,41,11,988.22,89.84,330,AT_RISK,14.89
cust-00235,m-001,135,9,676.23,75.14,332,INACTIVE,43.54
cust-00236,m-001,99,11,1159.01,105.36,291,INACTIVE,36.4
cust-00237,m-001,36,10,1314.89,131.49,307,AT_RISK,14.42
cust-00238,m-001,61,6,1759.19,293.2,331,INACTIVE,22.66
cust-00239,m-001,33,8,711.33,88.92,355,AT_RISK,12.6
cust-00240,m-001,34,12,1535.33,127.94,337,AT_RISK,12.37
cust-00241,m-001,49,13,1164.16,89.55,363,AT_RISK,15.6
cust-00242,m-001,33,10,1344.61,134.46,311,AT_RISK,13.3
cust-00243,m-001,54,7,809.71,115.67,324,AT_RISK,20.37
cust-00244,m-001,68,11,975.48,88.68,364,INACTIVE,21.13
cust-00245,m-001,44,7,1077.78,153.97,281,AT_RISK,19.35
cust-00246,m-001,51,6,547.26,91.21,248,AT_RISK,24.77
cust-00247,m-001,31,12,1005.67,83.81,277,AT_RISK,13.46
cust-00248,m-001,50,22,3114.79,141.58,362,AT_RISK,15.08
cust-00249,m-001,58,8,575.73,71.97,303,AT_RISK,22.41
cust-00250,m-001,33,15,1716.9,114.46,360,AT_RISK,11.02
cust-00251,m-001,35,13,1373.0,105.62,333,AT_RISK,12.62
cust-00252,m-001,34,12,1728.06,144.0,336,AT_RISK,12.4
cust-00253,m-001,102,9,1151.37,127.93,364,INACTIVE,30.95
cust-00254,m-001,34,11,1077.86,97.99,363,AT_RISK,11.84
cust-00255,m-001,35,15,1978.37,131.89,285,AT_RISK,14.11
cust-00256,m-001,88,9,796.59,88.51,314,INACTIVE,30.94
cust-00257,m-001,92,8,861.82,107.73,200,INACTIVE,49.1
cust-00258,m-001,48,13,1127.66,86.74,342,AT_RISK,16.14
cust-00259,m-001,74,8,1005.87,125.73,332,INACTIVE,25.56
cust-00260,m-001,40,12,1083.14,90.26,355,AT_RISK,13.54
cust-00261,m-001,32,14,1706.43,121.89,363,AT_RISK,10.79
cust-00262,m-001,47,10,1273.5,127.35,314,AT_RISK,17.65
cust-00263,m-001,76,9,1292.01,143.56,363,INACTIVE,23.88
cust-00264,m-001,63,8,588.21,73.53,360,INACTIVE,20.78
cust-00265,m-001,103,10,1743.32,174.33,361,INACTIVE,31.18
cust-00266,m-001,43,17,1873.61,110.21,360,AT_RISK,13.58
cust-00267,m-001,95,8,717.44,89.68,348,INACTIVE,30.55
cust-00268,m-001,54,15,1589.5,105.97,350,AT_RISK,17.26
cust-00269,m-001,33,16,2475.83,154.74,347,AT_RISK,11.25
cust-00270,m-001,38,15,1084.05,72.27,310,AT_RISK,14.09
cust-00271,m-001,33,19,2260.11,118.95,290,AT_RISK,12.84
cust-00272,m-001,46,9,1203.93,133.77,358,AT_RISK,15.81
cust-00273,m-001,33,13,1084.79,83.45,335,AT_RISK,11.96
cust-00274,m-001,46,19,4202.01,221.16,263,AT_RISK,18.92
cust-00275,m-001,81,10,1122.86,112.29,325,INACTIVE,27.57
cust-00276,m-001,53,11,766.84,69.71,332,AT_RISK,18.42
cust-00277,m-001,37,8,770.98,96.37,293,AT_RISK,15.92
cust-00278,m-001,42,11,1195.43,108.68,348,AT_RISK,14.53
cust-00279,m-001,63,12,1452.52,121.04,341,INACTIVE,20.73
cust-00280,m-001,92,5,403.29,80.66,268,INACTIVE,39.2
cust-00281,m-001,68,14,1685.82,120.42,361,INACTIVE,20.78
cust-00282,m-001,49,9,997.18,110.8,348,AT_RISK,17.04
cust-00283,m-001,96,5,553.39,110.68,342,INACTIVE,32.99
cust-00284,m-001,33,15,833.9,55.59,352,AT_RISK,11.22
cust-00285,m-001,46,8,834.59,104.32,235,AT_RISK,22.82
cust-00286,m-001,38,15,1691.38,112.76,351,AT_RISK,12.67
cust-00287,m-001,65,15,1261.68,84.11,360,INACTIVE,19.88
cust-00288,m-001,67,22,2815.83,127.99,364,INACTIVE,19.66
cust-00289,m-001,39,11,1672.51,152.05,322,AT_RISK,14.57
cust-00290,m-001,44,19,1976.94,104.05,341,AT_RISK,14.37
cust-00291,m-001,109,8,1120.19,140.02,348,INACTIVE,34.57
cust-00292,m-001,156,5,872.52,174.5,347,INACTIVE,49.83
cust-00293,m-001,41,13,1372.29,105.56,320,AT_RISK,14.92
cust-00294,m-001,53,5,590.58,118.12,347,AT_RISK,20.23
cust-00295,m-001,134,6,510.84,85.14,355,INACTIVE,41.93
cust-00296,m-001,31,14,1635.27,116.8,352,AT_RISK,10.78
cust-00297,m-001,33,10,955.84,95.58,251,AT_RISK,15.82
cust-00298,m-001,87,11,1572.1,142.92,320,INACTIVE,29.6
cust-00299,m-001,68,10,773.96,77.4,325,INACTIVE,23.59
cust-00300,m-001,63,17,2236.64,131.57,344,INACTIVE,19.93
cust-00301,m-001,32,9,999.45,111.05,330,AT_RISK,12.67
cust-00302,m-001,49,15,1670.74,111.38,350,AT_RISK,15.84
cust-00303,m-001,66,12,1536.71,128.06,336,INACTIVE,21.89
cust-00304,m-001,49,9,971.11,107.9,331,AT_RISK,17.76
cust-00305,m-001,45,8,749.87,93.73,362,AT_RISK,15.73
cust-00306,m-001,84,9,1302.25,144.69,313,INACTIVE,29.75
cust-00307,m-001,46,14,1551.22,110.8,358,AT_RISK,14.81
cust-00308,m-001,86,6,514.46,85.74,206,INACTIVE,45.83
cust-00309,m-001,37,11,1410.16,128.2,348,AT_RISK,13.1
cust-00310,m-001,41,10,1070.17,107.02,243,AT_RISK,19.53
cust-00311,m-001,56,11,913.96,83.09,364,AT_RISK,17.84
cust-00312,m-001,70,10,1348.78,134.88,330,INACTIVE,23.88
cust-00313,m-001,17,12,2177.16,181.43,356,RETURNING,7.07
cust-00314,m-001,90,11,880.34,80.03,361,INACTIVE,27.36
cust-00315,m-001,1,14,1736.1,124.01,332,RETURNING,2.3
cust-00316,m-001,12,13,1687.96,129.84,280,RETURNING,6.41
cust-00317,m-001,16,12,1389.55,115.8,305,RETURNING,7.54
cust-00318,m-001,43,7,1211.08,173.01,356,AT_RISK,15.79
cust-00319,m-001,10,10,1685.21,168.52,362,RETURNING,5.48
cust-00320,m-001,1,22,1802.18,81.92,363,LOYAL,1.58
cust-00321,m-001,23,13,1998.33,153.72,324,RETURNING,9.22
cust-00322,m-001,9,9,685.21,76.13,326,RETURNING,5.75
cust-00323,m-001,62,7,453.95,64.85,346,INACTIVE,21.62
cust-00324,m-001,0,11,1533.34,139.39,339,RETURNING,2.5
cust-00325,m-001,43,8,783.74,97.97,325,AT_RISK,16.52
cust-00326,m-001,54,6,553.58,92.26,361,AT_RISK,19.2
cust-00327,m-001,35,12,1436.23,119.69,354,AT_RISK,12.17
cust-00328,m-001,20,14,2718.24,194.16,336,RETURNING,7.93
cust-00329,m-001,127,5,515.48,103.1,225,INACTIVE,61.19
cust-00330,m-001,1,17,1921.58,113.03,348,LOYAL,1.95
cust-00331,m-001,61,11,1202.75,109.34,330,INACTIVE,20.93
cust-00332,m-001,1,12,1782.47,148.54,359,RETURNING,2.59
cust-00333,m-001,61,14,2097.91,149.85,341,INACTIVE,19.84
cust-00334,m-001,4,8,593.49,74.19,317,RETURNING,4.59
cust-00335,m-001,20,15,2144.37,142.96,347,RETURNING,7.62
cust-00336,m-001,16,11,2018.08,183.46,351,RETURNING,7.05
cust-00337,m-001,47,9,986.22,109.58,358,AT_RISK,16.09
cust-00338,m-001,58,12,1156.27,96.36,348,AT_RISK,18.93
cust-00339,m-001,38,8,1021.91,127.74,351,AT_RISK,14.13
cust-00340,m-001,33,10,1129.98,113.0,329,AT_RISK,12.73
cust-00341,m-001,5,14,1677.38,119.81,310,RETURNING,3.61
cust-00342,m-001,6,12,1288.69,107.39,316,RETURNING,4.2
cust-00343,m-001,37,9,1082.32,120.26,351,AT_RISK,13.51
cust-00344,m-001,78,8,972.99,121.62,342,INACTIVE,26.07
cust-00345,m-001,94,7,982.83,140.4,332,INACTIVE,31.98
cust-00346,m-001,9,17,2415.25,142.07,304,LOYAL,4.62
cust-00347,m-001,49,7,843.52,120.5,324,AT_RISK,18.83
cust-00348,m-001,38,13,1421.9,109.38,361,AT_RISK,12.64
cust-00349,m-001,0,21,1797.17,85.58,362,LOYAL,1.36
cust-00350,m-001,51,9,667.45,74.16,230,AT_RISK,25.08
cust-00351,m-001,41,10,1011.43,101.14,359,AT_RISK,14.12
cust-00352,m-001,20,9,772.14,85.79,292,RETURNING,9.83
cust-00353,m-001,33,12,1522.84,126.9,316,AT_RISK,12.72
cust-00354,m-001,41,11,1303.21,118.47,238,AT_RISK,19.65
cust-00355,m-001,1,9,751.74,83.53,268,RETURNING,3.37
cust-00356,m-001,1,13,1349.92,103.84,331,RETURNING,2.44
cust-00357,m-001,67,19,2580.62,135.82,345,INACTIVE,20.86
cust-00358,m-001,50,7,831.44,118.78,345,AT_RISK,18.2
cust-00359,m-001,57,11,1527.6,138.87,341,AT_RISK,19.17
cust-00360,m-001,88,11,1159.99,105.45,347,INACTIVE,27.79
cust-00361,m-001,54,6,1193.84,198.97,340,AT_RISK,20.12
cust-00362,m-001,7,17,2511.47,147.73,342,LOYAL,3.71
cust-00363,m-001,0,12,1528.23,127.35,340,RETURNING,2.31
cust-00364,m-001,21,9,1121.41,124.6,348,RETURNING,9.02
cust-00365,m-001,9,14,1177.51,84.11,355,RETURNING,4.53
cust-00366,m-001,12,13,1408.43,108.34,360,RETURNING,5.47
cust-00367,m-001,16,7,840.65,120.09,349,RETURNING,8.32
cust-00368,m-001,24,14,1154.07,82.43,360,RETURNING,8.65
cust-00369,m-001,11,8,498.2,62.28,356,RETURNING,6.41
cust-00370,m-001,20,18,1707.04,94.84,354,RETURNING,7.21
cust-00371,m-001,5,16,1700.3,106.27,344,LOYAL,3.21
cust-00372,m-001,85,10,1234.71,123.47,317,INACTIVE,29.46
cust-00373,m-001,42,11,1673.63,152.15,364,AT_RISK,14.01
cust-00374,m-001,69,14,1477.84,105.56,330,INACTIVE,22.85
cust-00375,m-001,32,13,1814.06,139.54,350,AT_RISK,11.26
cust-00376,m-001,153,6,814.41,135.73,333,INACTIVE,50.09
cust-00377,m-001,4,15,1473.96,98.26,326,LOYAL,3.1
cust-00378,m-001,23,20,1991.58,99.58,341,RETURNING,8.15
cust-00379,m-001,9,13,987.12,75.93,361,RETURNING,4.63
cust-00380,m-001,2,11,1305.22,118.66,363,RETURNING,3.05
cust-00381,m-001,62,14,1618.16,115.58,356,INACTIVE,19.37
cust-00382,m-001,33,13,1758.09,135.24,320,AT_RISK,12.42
cust-00383,m-001,1,11,1634.3,148.57,296,RETURNING,2.84
cust-00384,m-001,42,13,1396.23,107.4,337,AT_RISK,14.57
cust-00385,m-001,29,10,1642.43,164.24,353,RETURNING,10.92
cust-00386,m-001,34,14,1456.34,104.02,333,AT_RISK,12.18
cust-00387,m-001,9,20,2142.7,107.14,356,LOYAL,3.95
cust-00388,m-001,4,13,1052.88,80.99,354,RETURNING,3.27
cust-00389,m-001,4,13,2461.65,189.36,352,RETURNING,3.28
cust-00390,m-001,56,9,805.74,89.53,292,AT_RISK,22.11
