merchant_id,date,hour,hourly_transactions,hourly_revenue,rolling_mean,rolling_std,z_score,is_anomaly
m-001,2025-09-22,17,5,712.46,6.12,3.19,-0.35,False
m-001,2025-09-22,18,7,747.88,5.92,2.95,0.37,False
m-001,2025-09-22,19,7,817.19,5.79,2.83,0.43,False
m-001,2025-09-22,20,6,821.8,5.75,2.82,0.09,False
m-001,2025-09-22,21,2,85.72,5.46,2.83,-1.22,False
m-001,2025-09-22,22,1,110.94,4.96,2.48,-1.6,False
m-001,2025-09-23,6,1,105.57,4.92,2.54,-1.54,False
m-001,2025-09-23,8,2,162.29,4.88,2.58,-1.12,False
m-001,2025-09-23,9,8,923.41,5.0,2.65,1.13,False
m-001,2025-09-23,10,7,573.62,4.92,2.55,0.82,False
m-001,2025-09-23,11,1,83.22,4.67,2.63,-1.4,False
m-001,2025-09-23,12,7,897.51,4.79,2.67,0.83,False
m-001,2025-09-23,13,8,1239.23,4.96,2.74,1.11,False
m-001,2025-09-23,14,5,310.98,5.12,2.61,-0.05,False
m-001,2025-09-23,15,2,265.06,5.17,2.55,-1.24,False
m-001,2025-09-23,16,4,292.97,5.04,2.53,-0.41,False
m-001,2025-09-23,17,8,737.7,5.0,2.47,1.21,False
m-001,2025-09-23,18,5,1150.1,4.92,2.43,0.03,False
m-001,2025-09-23,19,5,622.55,4.92,2.43,0.03,False
m-001,2025-09-23,20,5,1007.6,4.88,2.42,0.05,False
m-001,2025-09-23,22,1,284.6,4.58,2.45,-1.46,False
m-001,2025-09-24,6,1,35.57,4.38,2.53,-1.34,False
m-001,2025-09-24,7,1,36.39,4.29,2.61,-1.26,False
m-001,2025-09-24,8,3,241.82,4.25,2.63,-0.48,False
m-001,2025-09-24,9,6,525.44,4.29,2.65,0.65,False
m-001,2025-09-24,10,2,160.26,4.08,2.62,-0.79,False
m-001,2025-09-24,11,5,481.69,4.0,2.55,0.39,False
m-001,2025-09-24,12,4,357.64,3.92,2.52,0.03,False
m-001,2025-09-24,13,3,484.71,3.96,2.49,-0.39,False
m-001,2025-09-24,14,6,906.59,4.17,2.44,0.75,False
m-001,2025-09-24,15,3,431.36,4.25,2.36,-0.53,False
m-001,2025-09-24,16,2,185.96,4.25,2.36,-0.95,False
m-001,2025-09-24,17,4,412.85,4.08,2.22,-0.04,False
m-001,2025-09-24,18,3,637.38,3.92,2.15,-0.43,False
m-001,2025-09-24,19,9,685.33,4.25,2.29,2.07,False
m-001,2025-09-24,20,6,532.83,4.21,2.25,0.8,False
m-001,2025-09-25,7,1,101.06,3.92,2.19,-1.33,False
m-001,2025-09-25,8,2,138.7,3.79,2.21,-0.81,False
m-001,2025-09-25,9,8,633.4,4.04,2.33,1.7,False
m-001,2025-09-25,10,5,694.81,4.08,2.34,0.39,False
m-001,2025-09-25,11,3,416.07,3.88,2.19,-0.4,False
m-001,2025-09-25,12,3,160.76,3.79,2.19,-0.36,False
m-001,2025-09-25,13,7,783.9,3.88,2.27,1.37,False
m-001,2025-09-25,14,4,403.05,3.83,2.26,0.08,False
m-001,2025-09-25,15,3,495.02,3.92,2.19,-0.42,False
m-001,2025-09-25,17,5,859.08,4.08,2.1,0.44,False
m-001,2025-09-25,18,10,1083.6,4.46,2.32,2.39,False
m-001,2025-09-25,19,2,193.14,4.42,2.36,-1.03,False
m-001,2025-09-25,20,6,538.29,4.42,2.36,0.67,False
m-001,2025-09-25,21,1,35.19,4.38,2.41,-1.4,False
m-001,2025-09-26,7,1,113.18,4.21,2.5,-1.28,False
m-001,2025-09-26,8,4,351.44,4.21,2.5,-0.08,False
m-001,2025-09-26,9,13,1539.45,4.62,3.06,2.74,False
m-001,2025-09-26,10,11,1471.06,4.83,3.32,1.86,False
m-001,2025-09-26,11,5,527.28,4.92,3.3,0.02,False
m-001,2025-09-26,12,2,121.67,4.92,3.3,-0.88,False
m-001,2025-09-26,13,7,1534.28,5.04,3.32,0.59,False
m-001,2025-09-26,14,6,736.18,5.17,3.29,0.25,False
m-001,2025-09-26,15,2,163.71,4.88,3.25,-0.89,False
m-001,2025-09-26,16,2,91.86,4.71,3.29,-0.82,False
m-001,2025-09-26,17,3,306.01,4.79,3.22,-0.56,False
m-001,2025-09-26,18,8,849.66,5.04,3.22,0.92,False
m-001,2025-09-26,19,8,825.46,5.04,3.22,0.92,False
m-001,2025-09-26,21,1,36.39,4.88,3.33,-1.17,False
m-001,2025-09-26,22,1,37.64,4.79,3.4,-1.11,False
m-001,2025-09-27,6,1,35.19,4.71,3.47,-1.07,False
m-001,2025-09-27,8,4,423.73,4.58,3.44,-0.17,False
m-001,2025-09-27,9,18,1828.56,5.17,4.39,2.92,False
m-001,2025-09-27,10,11,1095.68,5.5,4.52,1.22,False
m-001,2025-09-27,11,2,106.71,5.38,4.58,-0.74,False
m-001,2025-09-27,12,6,759.21,5.21,4.47,0.18,False
m-001,2025-09-27,13,6,489.69,5.38,4.42,0.14,False
m-001,2025-09-27,14,8,957.07,5.46,4.45,0.57,False
m-001,2025-09-27,15,4,592.78,5.58,4.36,-0.36,False
m-001,2025-09-27,16,5,535.34,5.75,4.26,-0.18,False
m-001,2025-09-27,17,6,1436.7,5.83,4.24,0.04,False
m-001,2025-09-27,18,8,539.65,5.62,3.99,0.6,False
m-001,2025-09-27,19,6,571.02,5.42,3.82,0.15,False
m-001,2025-09-27,20,6,444.11,5.46,3.82,0.14,False
m-001,2025-09-27,21,3,354.46,5.5,3.79,-0.66,False
m-001,2025-09-27,22,1,261.24,5.25,3.88,-1.1,False
m-001,2025-09-28,7,2,201.98,5.08,3.93,-0.78,False
m-001,2025-09-28,8,7,850.07,5.29,3.9,0.44,False
m-001,2025-09-28,9,10,1546.43,5.62,3.94,1.11,False
m-001,2025-09-28,10,10,726.56,5.92,4.0,1.02,False
m-001,2025-09-28,11,8,631.57,5.92,4.0,0.52,False
m-001,2025-09-28,12,4,406.91,5.75,3.99,-0.44,False
m-001,2025-09-28,13,9,1276.75,6.08,3.91,0.75,False
m-001,2025-09-28,14,8,598.0,6.38,3.77,0.43,False
m-001,2025-09-28,15,1,179.02,6.38,3.77,-1.43,False
m-001,2025-09-28,16,4,353.25,6.38,3.77,-0.63,False
m-001,2025-09-28,17,6,639.34,5.88,2.85,0.04,False
m-001,2025-09-28,18,8,923.26,5.75,2.67,0.84,False
m-001,2025-09-28,19,5,412.4,5.88,2.56,-0.34,False
m-001,2025-09-28,20,5,883.1,5.83,2.57,-0.32,False
m-001,2025-09-28,21,1,36.39,5.62,2.75,-1.68,False
m-001,2025-09-29,6,1,75.28,5.33,2.85,-1.52,False
m-001,2025-09-29,7,2,109.22,5.25,2.92,-1.11,False
m-001,2025-09-29,8,4,535.53,5.21,2.93,-0.41,False
m-001,2025-09-29,9,4,249.19,5.12,2.94,-0.38,False
m-001,2025-09-29,10,8,1027.69,5.12,2.94,0.98,False
m-001,2025-09-29,11,4,384.19,5.04,2.94,-0.35,False
m-001,2025-09-29,12,9,1245.53,5.17,3.05,1.26,False
m-001,2025-09-29,13,5,895.28,5.25,3.01,-0.08,False
m-001,2025-09-29,14,3,458.69,5.33,2.91,-0.8,False
m-001,2025-09-29,15,3,207.59,5.38,2.87,-0.83,False
m-001,2025-09-29,16,3,336.78,5.21,2.89,-0.76,False
m-001,2025-09-29,17,4,211.38,4.96,2.71,-0.35,False
m-001,2025-09-29,18,6,644.19,4.79,2.5,0.48,False
m-001,2025-09-29,19,4,515.04,4.62,2.41,-0.26,False
m-001,2025-09-29,20,5,1056.6,4.67,2.41,0.14,False
m-001,2025-09-29,21,3,110.42,4.42,2.24,-0.63,False
m-001,2025-09-30,6,1,36.39,4.12,2.21,-1.41,False
m-001,2025-09-30,8,5,561.7,4.29,2.12,0.33,False
m-001,2025-09-30,9,12,1134.55,4.62,2.63,2.81,False
m-001,2025-09-30,10,8,576.58,4.71,2.71,1.21,False
m-001,2025-09-30,11,9,587.97,4.75,2.77,1.53,False
m-001,2025-09-30,12,5,728.54,4.75,2.77,0.09,False
m-001,2025-09-30,13,6,548.68,4.79,2.78,0.44,False
m-001,2025-09-30,14,4,435.1,4.92,2.67,-0.34,False
m-001,2025-09-30,15,4,387.88,5.04,2.54,-0.41,False
m-001,2025-09-30,16,1,106.71,5.0,2.6,-1.54,False
m-001,2025-09-30,17,2,214.21,4.92,2.67,-1.09,False
m-001,2025-09-30,18,4,353.35,4.92,2.67,-0.34,False
m-001,2025-09-30,19,4,661.31,4.75,2.59,-0.29,False
m-001,2025-09-30,20,3,144.79,4.71,2.61,-0.66,False
m-001,2025-09-30,21,2,218.75,4.42,2.5,-0.97,False
m-001,2025-10-01,7,2,367.86,4.29,2.54,-0.9,False
m-001,2025-10-01,8,2,434.97,4.25,2.57,-0.88,False
m-001,2025-10-01,9,8,1288.23,4.46,2.67,1.33,False
m-001,2025-10-01,10,6,757.98,4.58,2.67,0.53,False
m-001,2025-10-01,11,5,940.85,4.62,2.67,0.14,False
m-001,2025-10-01,12,6,506.42,4.62,2.67,0.52,False
m-001,2025-10-01,13,7,897.14,4.75,2.71,0.83,False
m-001,2025-10-01,14,6,533.71,4.79,2.72,0.44,False
m-001,2025-10-01,15,3,257.66,4.79,2.72,-0.66,False
m-001,2025-10-01,16,5,1037.88,4.96,2.6,0.02,False
m-001,2025-10-01,17,5,308.34,4.96,2.6,0.02,False
m-001,2025-10-01,18,6,753.37,4.71,2.14,0.6,False
m-001,2025-10-01,19,3,243.11,4.5,2.04,-0.74,False
m-001,2025-10-01,20,5,1135.4,4.33,1.81,0.37,False
m-001,2025-10-01,21,3,144.36,4.25,1.82,-0.69,False
m-001,2025-10-02,6,3,267.74,4.12,1.8,-0.62,False
m-001,2025-10-02,7,1,142.3,4.0,1.91,-1.57,False
m-001,2025-10-02,8,5,1142.46,4.04,1.92,0.5,False
m-001,2025-10-02,9,4,577.31,4.17,1.81,-0.09,False
m-001,2025-10-02,10,4,385.59,4.25,1.75,-0.14,False
m-001,2025-10-02,11,6,532.23,4.33,1.79,0.93,False
m-001,2025-10-02,12,5,734.59,4.38,1.79,0.35,False
m-001,2025-10-02,13,4,489.98,4.42,1.77,-0.24,False
m-001,2025-10-02,14,6,400.54,4.58,1.72,0.83,False
m-001,2025-10-02,15,4,812.44,4.67,1.63,-0.41,False
m-001,2025-10-02,16,7,638.85,4.88,1.6,1.32,False
m-001,2025-10-02,18,2,173.15,4.62,1.56,-1.68,False
m-001,2025-10-02,19,10,1032.73,4.79,1.89,2.76,False
m-001,2025-10-02,20,6,478.23,4.83,1.9,0.62,False
m-001,2025-10-02,21,1,55.47,4.62,2.04,-1.77,False
m-001,2025-10-03,7,4,735.83,4.5,1.98,-0.25,False
m-001,2025-10-03,8,3,180.17,4.38,1.97,-0.7,False
m-001,2025-10-03,9,11,1712.96,4.71,2.37,2.65,False
m-001,2025-10-03,10,6,609.68,4.75,2.38,0.53,False
m-001,2025-10-03,11,4,683.36,4.71,2.39,-0.3,False
m-001,2025-10-03,12,1,50.53,4.5,2.48,-1.41,False
m-001,2025-10-03,13,11,1368.54,4.83,2.79,2.21,False
m-001,2025-10-03,14,5,771.66,4.83,2.79,0.06,False
m-001,2025-10-03,15,3,308.89,4.83,2.79,-0.66,False
m-001,2025-10-03,17,5,445.37,4.92,2.76,0.03,False
m-001,2025-10-03,18,8,814.67,5.21,2.7,1.03,False
m-001,2025-10-03,19,6,424.64,5.25,2.71,0.28,False
m-001,2025-10-03,20,4,176.14,5.25,2.71,-0.46,False
m-001,2025-10-03,21,1,71.14,5.12,2.83,-1.46,False
m-001,2025-10-03,22,1,61.38,4.92,2.95,-1.33,False
m-001,2025-10-04,7,2,220.94,4.79,3.01,-0.93,False
m-001,2025-10-04,8,3,378.01,4.75,3.03,-0.58,False
m-001,2025-10-04,9,7,818.22,4.79,3.05,0.72,False
m-001,2025-10-04,10,9,810.52,5.0,3.16,1.27,False
m-001,2025-10-04,11,8,1361.33,5.04,3.2,0.92,False
m-001,2025-10-04,12,9,803.33,5.33,3.23,1.14,False
m-001,2025-10-04,13,8,740.05,5.25,3.12,0.88,False
m-001,2025-10-04,14,12,1341.87,5.5,3.41,1.91,False
m-001,2025-10-04,15,3,598.83,5.58,3.32,-0.78,False
m-001,2025-10-04,16,2,320.99,5.5,3.39,-1.03,False
m-001,2025-10-04,17,4,377.37,5.54,3.36,-0.46,False
m-001,2025-10-04,18,8,815.95,5.42,3.2,0.81,False
m-001,2025-10-04,19,14,1778.88,5.75,3.65,2.26,False
m-001,2025-10-04,20,5,700.03,5.79,3.64,-0.22,False
m-001,2025-10-04,21,1,130.62,5.79,3.64,-1.32,False
m-001,2025-10-04,22,1,113.18,5.38,3.59,-1.22,False
m-001,2025-10-05,6,3,612.99,5.29,3.62,-0.63,False
m-001,2025-10-05,7,2,159.01,5.25,3.65,-0.89,False
m-001,2025-10-05,8,5,388.22,5.25,3.65,-0.07,False
m-001,2025-10-05,9,10,926.93,5.33,3.74,1.25,False
m-001,2025-10-05,10,13,1154.7,5.62,4.05,1.82,False
m-001,2025-10-05,11,9,907.38,5.83,4.09,0.78,False
m-001,2025-10-05,12,3,338.03,5.92,4.01,-0.73,False
m-001,2025-10-05,13,11,1633.72,6.33,4.0,1.17,False
m-001,2025-10-05,14,13,1701.01,6.79,4.11,1.51,False
m-001,2025-10-05,16,7,1044.23,6.96,4.03,0.01,False
m-001,2025-10-05,17,6,711.16,6.92,4.03,-0.23,False
m-001,2025-10-05,18,7,597.2,6.83,4.01,0.04,False
m-001,2025-10-05,19,5,657.68,6.71,4.02,-0.43,False
m-001,2025-10-05,20,6,903.3,6.58,3.99,-0.15,False
m-001,2025-10-05,21,1,55.47,6.29,4.13,-1.28,False
m-001,2025-10-05,22,1,112.92,5.83,4.08,-1.18,False
m-001,2025-10-06,6,1,70.38,5.75,4.16,-1.14,False
m-001,2025-10-06,7,3,370.08,5.79,4.13,-0.68,False
m-001,2025-10-06,8,3,152.04,5.75,4.15,-0.66,False
m-001,2025-10-06,9,7,998.63,5.71,4.13,0.31,False
m-001,2025-10-06,10,7,847.29,5.42,3.75,0.42,False
m-001,2025-10-06,11,3,364.98,5.33,3.78,-0.62,False
m-001,2025-10-06,12,7,1330.55,5.58,3.68,0.39,False
m-001,2025-10-06,13,8,1233.71,5.88,3.58,0.59,False
m-001,2025-10-06,14,5,776.48,5.96,3.53,-0.27,False
m-001,2025-10-06,15,5,690.3,6.08,3.44,-0.31,False
m-001,2025-10-06,16,5,500.31,6.08,3.44,-0.31,False
m-001,2025-10-06,17,6,441.44,5.92,3.34,0.02,False
m-001,2025-10-06,18,7,1228.91,5.67,2.99,0.44,False
m-001,2025-10-06,19,5,663.37,5.5,2.9,-0.17,False
m-001,2025-10-06,20,5,228.2,5.58,2.86,-0.2,False
m-001,2025-10-06,22,2,170.46,5.21,2.7,-1.19,False
m-001,2025-10-07,6,2,83.41,4.75,2.21,-1.24,False
m-001,2025-10-07,8,2,201.76,4.54,2.23,-1.14,False
m-001,2025-10-07,9,8,963.47,4.62,2.32,1.46,False
m-001,2025-10-07,10,5,633.81,4.54,2.26,0.2,False
m-001,2025-10-07,11,4,629.77,4.5,2.27,-0.22,False
m-001,2025-10-07,12,6,1273.12,4.5,2.27,0.66,False
m-001,2025-10-07,13,2,289.06,4.54,2.21,-1.15,False
m-001,2025-10-07,14,5,530.6,4.71,2.07,0.14,False
m-001,2025-10-07,15,2,289.06,4.75,2.01,-1.37,False
m-001,2025-10-07,16,3,655.01,4.75,2.01,-0.87,False
m-001,2025-10-07,17,7,729.49,4.92,2.02,1.03,False
m-001,2025-10-07,18,3,653.91,4.75,2.01,-0.87,False
m-001,2025-10-07,19,5,357.64,4.67,1.95,0.17,False
m-001,2025-10-07,20,6,669.05,4.79,1.93,0.63,False
m-001,2025-10-07,21,1,122.62,4.54,2.02,-1.75,False
m-001,2025-10-08,7,1,47.84,4.25,2.01,-1.62,False
m-001,2025-10-08,8,4,393.28,4.21,2.0,-0.1,False
m-001,2025-10-08,9,10,983.53,4.42,2.32,2.41,False
m-001,2025-10-08,10,8,1020.7,4.54,2.43,1.42,False
m-001,2025-10-08,11,4,374.74,4.46,2.41,-0.19,False
m-001,2025-10-08,12,10,1484.44,4.58,2.62,2.07,False
m-001,2025-10-08,13,3,241.1,4.5,2.64,-0.57,False
m-001,2025-10-08,14,4,517.19,4.46,2.64,-0.17,False
m-001,2025-10-08,15,1,105.57,4.42,2.69,-1.27,False
m-001,2025-10-08,16,1,184.14,4.38,2.73,-1.24,False
m-001,2025-10-08,17,4,444.65,4.46,2.69,-0.17,False
m-001,2025-10-08,18,5,282.89,4.33,2.58,0.26,False
m-001,2025-10-08,19,3,614.51,4.25,2.59,-0.48,False
m-001,2025-10-08,20,3,313.37,4.21,2.6,-0.47,False
m-001,2025-10-08,21,2,196.23,4.04,2.61,-0.78,False
m-001,2025-10-09,7,3,297.18,4.08,2.59,-0.42,False
m-001,2025-10-09,8,4,390.57,4.04,2.58,-0.02,False
m-001,2025-10-09,9,4,361.91,4.12,2.54,-0.05,False
m-001,2025-10-09,10,7,1491.48,4.29,2.6,1.04,False
m-001,2025-10-09,11,5,773.89,4.21,2.54,0.31,False
m-001,2025-10-09,12,2,107.53,4.17,2.57,-0.84,False
m-001,2025-10-09,13,6,715.26,4.21,2.59,0.69,False
m-001,2025-10-09,14,7,991.7,4.25,2.63,1.05,False
m-001,2025-10-09,15,3,233.47,4.33,2.55,-0.52,False
m-001,2025-10-09,16,1,179.02,4.33,2.55,-1.31,False
m-001,2025-10-09,17,6,614.79,4.42,2.57,0.61,False
m-001,2025-10-09,18,7,798.49,4.29,2.35,1.15,False
m-001,2025-10-09,19,3,128.25,4.08,2.22,-0.49,False
m-001,2025-10-09,20,1,35.57,3.96,2.31,-1.28,False
m-001,2025-10-09,21,4,407.68,3.71,1.92,0.15,False
m-001,2025-10-10,6,1,47.84,3.62,2.0,-1.31,False
m-001,2025-10-10,8,3,314.62,3.58,2.0,-0.29,False
m-001,2025-10-10,9,9,1164.37,3.92,2.21,2.3,False
m-001,2025-10-10,10,10,738.54,4.29,2.44,2.34,False
m-001,2025-10-10,11,3,516.61,4.25,2.45,-0.51,False
m-001,2025-10-10,12,3,743.71,4.17,2.46,-0.48,False
m-001,2025-10-10,13,10,1227.86,4.46,2.72,2.04,False
m-001,2025-10-10,14,7,598.05,4.62,2.75,0.87,False
m-001,2025-10-10,15,1,50.53,4.58,2.8,-1.28,False
m-001,2025-10-10,16,2,212.13,4.54,2.83,-0.9,False
m-001,2025-10-10,17,4,307.04,4.54,2.83,-0.19,False
m-001,2025-10-10,18,5,431.07,4.58,2.83,0.15,False
m-001,2025-10-10,19,3,213.65,4.42,2.8,-0.51,False
m-001,2025-10-10,20,8,557.21,4.54,2.89,1.2,False
m-001,2025-10-10,22,2,183.56,4.54,2.89,-0.88,False
m-001,2025-10-11,7,3,267.22,4.42,2.89,-0.49,False
m-001,2025-10-11,8,6,458.26,4.38,2.86,0.57,False
m-001,2025-10-11,9,8,1236.11,4.58,2.93,1.17,False
m-001,2025-10-11,10,11,1199.66,5.0,3.11,1.93,False
m-001,2025-10-11,11,3,260.37,4.88,3.13,-0.6,False
m-001,2025-10-11,12,11,1488.13,5.04,3.34,1.78,False
m-001,2025-10-11,13,12,1496.01,5.42,3.6,1.83,False
m-001,2025-10-11,14,6,960.24,5.62,3.47,0.11,False
m-001,2025-10-11,15,5,1081.79,5.67,3.46,-0.19,False
m-001,2025-10-11,16,6,696.35,5.88,3.31,0.04,False
m-001,2025-10-11,17,8,1030.47,6.08,3.28,0.59,False
m-001,2025-10-11,18,3,702.33,5.83,3.28,-0.86,False
m-001,2025-10-11,19,10,1577.55,5.83,3.28,1.27,False
m-001,2025-10-11,20,3,250.53,5.83,3.28,-0.86,False
m-001,2025-10-12,7,1,36.39,5.75,3.38,-1.41,False
m-001,2025-10-12,8,3,274.77,5.46,3.3,-0.75,False
m-001,2025-10-12,9,13,1958.05,5.71,3.63,2.01,False
m-001,2025-10-12,10,8,1290.33,6.0,3.51,0.57,False
m-001,2025-10-12,11,5,931.61,6.12,3.42,-0.33,False
m-001,2025-10-12,12,5,383.29,6.17,3.4,-0.34,False
m-001,2025-10-12,13,9,1437.79,6.33,3.43,0.78,False
m-001,2025-10-12,14,7,836.87,6.5,3.36,0.15,False
m-001,2025-10-12,15,3,356.18,6.29,3.42,-0.96,False
m-001,2025-10-12,16,3,344.65,6.33,3.37,-0.99,False
m-001,2025-10-12,17,8,900.63,6.54,3.31,0.44,False
m-001,2025-10-12,18,3,342.33,6.42,3.39,-1.01,False
m-001,2025-10-12,19,8,985.13,6.42,3.39,0.47,False
m-001,2025-10-12,21,3,308.09,6.08,3.31,-0.93,False
m-001,2025-10-12,22,2,74.03,6.04,3.36,-1.2,False
m-001,2025-10-13,7,1,47.84,5.62,3.33,-1.39,False
m-001,2025-10-13,8,4,718.08,5.29,3.06,-0.42,False
m-001,2025-10-13,9,7,868.83,5.33,3.07,0.54,False
m-001,2025-10-13,10,6,639.32,5.38,3.08,0.2,False
m-001,2025-10-13,11,7,748.13,5.42,3.09,0.51,False
m-001,2025-10-13,12,3,401.04,5.21,3.08,-0.72,False
m-001,2025-10-13,13,7,791.84,5.38,3.06,0.53,False
m-001,2025-10-13,14,11,1187.79,5.42,3.13,1.78,False
m-001,2025-10-13,15,1,112.92,5.33,3.23,-1.34,False
m-001,2025-10-13,16,1,61.38,5.33,3.23,-1.34,False
m-001,2025-10-13,17,3,348.98,5.33,3.23,-0.72,False
m-001,2025-10-13,18,4,392.84,4.96,2.79,-0.34,False
m-001,2025-10-13,19,6,888.54,4.88,2.72,0.41,False
m-001,2025-10-13,20,2,161.47,4.75,2.79,-0.99,False
m-001,2025-10-13,21,1,122.62,4.58,2.89,-1.24,False
m-001,2025-10-13,22,2,225.52,4.29,2.77,-0.83,False
m-001,2025-10-14,2,1,89.51,4.04,2.79,-1.09,True
m-001,2025-10-14,6,2,173.29,4.0,2.81,-0.71,False
m-001,2025-10-14,7,3,316.86,4.0,2.81,-0.36,False
m-001,2025-10-14,9,8,712.1,4.0,2.81,1.42,False
m-001,2025-10-14,10,9,1134.72,4.25,2.98,1.59,False
m-001,2025-10-14,11,7,824.12,4.21,2.93,0.95,False
m-001,2025-10-14,12,4,516.06,4.25,2.92,-0.09,False
m-001,2025-10-14,13,2,368.28,4.25,2.92,-0.77,False
m-001,2025-10-14,14,5,840.59,4.42,2.84,0.2,False
m-001,2025-10-14,15,2,234.67,4.33,2.88,-0.81,False
m-001,2025-10-14,16,6,632.57,4.29,2.85,0.6,False
m-001,2025-10-14,17,6,471.51,4.29,2.85,0.6,False
m-001,2025-10-14,18,4,402.79,4.17,2.79,-0.06,False
m-001,2025-10-14,19,4,468.97,4.21,2.78,-0.08,False
m-001,2025-10-14,20,3,299.71,4.04,2.73,-0.38,False
