customer_id,merchant_id,recency_days,frequency,monetary_value,avg_order_value,min_order_value,max_order_value,distinct_products_bought,distinct_categories_bought,customer_tenure_days,avg_purchase_interval_days,weekend_tx_ratio,evening_tx_ratio,target_segment,churn_risk_score,split
cust-00035,m-001,43,14,1960.78,140.06,35.19,391.86,11,1,288,18.8,0.5,0.357,AT_RISK,47.46,TRAIN
cust-00036,m-001,44,9,961.25,106.81,35.19,332.88,6,1,228,23.0,0.222,0.333,AT_RISK,45.91,VALIDATION
cust-00037,m-001,40,15,1953.0,130.2,36.39,490.48,9,1,258,15.6,0.133,0.133,AT_RISK,48.18,TRAIN
cust-00038,m-001,51,13,1320.75,101.6,35.19,339.54,10,1,336,23.8,0.308,0.231,AT_RISK,52.15,TRAIN
cust-00039,m-001,49,12,1356.77,113.06,37.64,284.6,6,1,363,28.5,0.25,0.25,AT_RISK,40.85,TEST
cust-00040,m-001,40,10,1289.69,128.97,36.39,522.48,7,1,286,27.3,0.5,0.2,AT_RISK,29.5,TRAIN
cust-00041,m-001,40,15,1275.28,85.02,35.19,166.44,10,1,289,17.8,0.2,0.267,AT_RISK,43.64,TRAIN
cust-00042,m-001,54,7,748.67,106.95,37.64,184.14,7,1,354,50.0,0.571,0.143,AT_RISK,17.41,TRAIN
cust-00043,m-001,75,8,769.75,96.22,35.19,166.44,8,1,348,39.0,0.625,0.25,INACTIVE,70.12,VALIDATION
cust-00044,m-001,48,11,850.02,77.27,35.19,142.3,11,1,315,26.7,0.182,0.455,AT_RISK,43.34,TRAIN
cust-00045,m-001,147,14,1442.48,103.03,35.19,268.53,11,1,363,16.6,0.5,0.429,INACTIVE,100.0,TRAIN
cust-00046,m-001,33,14,2029.24,144.95,36.39,452.72,11,1,307,21.1,0.429,0.429,AT_RISK,25.89,TRAIN
cust-00047,m-001,84,6,1474.06,245.68,89.51,452.72,5,1,337,50.6,0.167,0.5,INACTIVE,68.74,TRAIN
cust-00048,m-001,81,8,739.4,92.42,35.19,261.24,7,1,337,36.6,0.5,0.5,INACTIVE,84.57,TRAIN
cust-00049,m-001,52,12,1226.63,102.22,35.19,226.36,7,1,358,27.8,0.167,0.333,AT_RISK,47.16,TRAIN
cust-00050,m-001,53,12,1252.4,104.37,37.64,339.54,7,1,361,28.0,0.5,0.583,AT_RISK,48.48,TRAIN
cust-00051,m-001,44,10,1541.8,154.18,36.39,452.72,8,1,296,28.0,0.5,0.3,AT_RISK,35.11,TRAIN
cust-00052,m-001,36,11,1256.95,114.27,36.39,332.88,8,1,355,31.9,0.455,0.182,AT_RISK,13.73,TRAIN
cust-00053,m-001,92,11,1115.53,101.41,50.53,184.14,6,1,358,26.6,0.364,0.182,INACTIVE,100.0,TRAIN
cust-00054,m-001,99,5,1233.79,246.76,184.14,332.88,5,1,359,65.0,0.0,0.6,INACTIVE,71.62,TRAIN
cust-00055,m-001,43,11,1714.89,155.9,35.57,490.48,7,1,345,30.2,0.273,0.273,AT_RISK,28.52,TEST
cust-00056,m-001,42,8,993.16,124.14,89.51,221.88,7,1,270,32.6,0.75,0.25,AT_RISK,25.72,TEST
cust-00057,m-001,74,11,1463.4,133.04,47.84,268.53,10,1,331,25.7,0.364,0.091,INACTIVE,89.17,TRAIN
cust-00058,m-001,50,10,1169.44,116.94,36.39,367.86,9,1,338,32.0,0.3,0.1,AT_RISK,38.06,TRAIN
cust-00059,m-001,36,13,1160.95,89.3,35.19,245.24,7,1,362,27.2,0.308,0.308,AT_RISK,20.64,TRAIN
cust-00060,m-001,33,19,1504.96,79.21,35.57,191.36,10,1,360,18.2,0.316,0.105,AT_RISK,29.06,TRAIN
cust-00061,m-001,31,9,1316.39,146.27,35.57,391.86,7,1,347,39.5,0.444,0.444,AT_RISK,6.68,TEST
cust-00062,m-001,48,12,2047.96,170.66,37.64,452.72,7,1,361,28.5,0.25,0.333,AT_RISK,39.19,TRAIN
cust-00063,m-001,35,7,720.38,102.91,37.64,166.44,7,1,312,46.2,0.429,0.429,AT_RISK,8.39,TRAIN
cust-00064,m-001,165,3,396.96,132.32,47.84,226.36,3,1,294,64.5,0.333,0.667,INACTIVE,100.0,TRAIN
cust-00065,m-001,54,9,866.21,96.25,35.19,142.3,7,1,277,27.9,0.444,0.333,AT_RISK,53.72,TEST
cust-00066,m-001,31,9,908.05,100.89,35.19,245.24,8,1,360,41.1,0.333,0.222,AT_RISK,6.44,TRAIN
cust-00067,m-001,48,13,1730.88,133.14,35.57,569.2,9,1,364,26.3,0.077,0.231,AT_RISK,42.41,VALIDATION
cust-00068,m-001,32,12,1118.46,93.2,35.19,221.88,7,1,338,27.8,0.5,0.333,AT_RISK,13.38,TRAIN
cust-00069,m-001,118,11,1167.66,106.15,35.19,339.54,8,1,289,17.1,0.091,0.364,INACTIVE,100.0,TRAIN
cust-00070,m-001,61,7,819.71,117.1,35.19,261.24,6,1,359,49.7,0.429,0.286,INACTIVE,29.66,TRAIN
cust-00071,m-001,118,15,2109.7,140.65,36.39,426.9,10,1,331,15.2,0.2,0.2,INACTIVE,100.0,TRAIN
cust-00072,m-001,31,15,2112.75,140.85,35.57,522.48,7,1,348,22.6,0.467,0.267,AT_RISK,19.26,TRAIN
cust-00073,m-001,65,9,1063.78,118.2,37.64,569.2,7,1,294,28.6,0.333,0.222,INACTIVE,71.13,VALIDATION
cust-00074,m-001,42,12,1352.48,112.71,35.19,452.72,10,1,298,23.3,0.25,0.25,AT_RISK,38.59,TRAIN
cust-00075,m-001,43,11,1483.62,134.87,36.39,426.9,9,1,326,28.3,0.273,0.727,AT_RISK,31.91,TEST
cust-00076,m-001,88,11,1270.32,115.48,36.39,339.54,7,1,363,27.5,0.273,0.273,INACTIVE,100.0,TRAIN
cust-00077,m-001,61,21,1826.69,86.99,35.57,261.24,11,1,329,13.4,0.429,0.524,INACTIVE,85.26,TRAIN
cust-00078,m-001,118,11,1575.16,143.2,35.19,332.88,9,1,361,24.3,0.455,0.091,INACTIVE,100.0,TEST
cust-00079,m-001,111,16,1809.8,113.11,35.19,367.86,10,1,353,16.1,0.125,0.25,INACTIVE,100.0,VALIDATION
cust-00080,m-001,127,8,1124.97,140.62,36.39,261.24,6,1,340,30.4,0.25,0.625,INACTIVE,100.0,TRAIN
cust-00081,m-001,37,10,1181.24,118.12,36.39,284.6,7,1,363,36.2,0.3,0.4,AT_RISK,8.82,TRAIN
cust-00082,m-001,53,10,1493.17,149.32,35.19,452.72,8,1,340,31.9,0.5,0.3,AT_RISK,43.31,TRAIN
cust-00083,m-001,92,13,1350.28,103.87,35.19,179.02,10,1,356,22.0,0.462,0.308,INACTIVE,100.0,TRAIN
cust-00084,m-001,85,12,890.44,74.2,35.19,142.3,9,1,354,24.5,0.417,0.5,INACTIVE,100.0,TRAIN
cust-00085,m-001,39,11,1486.56,135.14,36.39,569.2,10,1,361,32.2,0.455,0.364,AT_RISK,18.28,TRAIN
cust-00086,m-001,67,6,791.39,131.9,35.57,261.24,4,1,297,46.0,0.667,0.167,INACTIVE,48.36,TRAIN
cust-00087,m-001,49,12,1213.37,101.11,35.19,452.72,8,1,341,26.5,0.333,0.25,AT_RISK,44.5,TRAIN
cust-00088,m-001,50,12,978.83,81.57,35.57,142.3,8,1,331,25.5,0.5,0.167,AT_RISK,48.05,TRAIN
cust-00089,m-001,32,9,896.65,99.63,35.19,142.3,7,1,348,39.5,0.333,0.111,AT_RISK,6.88,TRAIN
cust-00090,m-001,33,13,1482.47,114.04,35.57,426.9,9,1,360,27.2,0.308,0.308,AT_RISK,15.56,VALIDATION
cust-00091,m-001,62,12,1309.68,109.14,35.19,191.36,8,1,354,26.5,0.333,0.583,INACTIVE,66.35,TRAIN
cust-00092,m-001,35,9,1703.84,189.32,61.38,569.2,5,1,331,37.0,0.111,0.222,AT_RISK,7.91,TRAIN
cust-00093,m-001,33,11,1175.6,106.87,35.57,245.24,9,1,243,21.0,0.364,0.091,AT_RISK,28.14,TRAIN
cust-00094,m-001,132,6,623.65,103.94,35.57,245.52,4,1,297,33.0,0.0,0.5,INACTIVE,100.0,TRAIN
cust-00095,m-001,77,8,1306.23,163.28,47.84,522.48,6,1,332,36.4,0.375,0.375,INACTIVE,78.24,TEST
cust-00096,m-001,54,5,539.54,107.91,37.64,179.02,4,1,302,62.0,0.4,0.0,AT_RISK,13.37,TRAIN
cust-00097,m-001,51,11,1203.96,109.45,37.64,339.54,8,1,328,27.7,0.182,0.273,AT_RISK,46.58,TRAIN
cust-00098,m-001,32,16,2283.02,142.69,35.19,452.72,12,1,331,19.9,0.438,0.5,AT_RISK,25.38,VALIDATION
cust-00099,m-001,154,2,136.25,68.12,35.19,101.06,2,1,272,118.0,0.0,0.0,INACTIVE,96.31,TEST
cust-00100,m-001,33,13,1545.03,118.85,35.57,245.24,9,1,319,23.8,0.385,0.308,AT_RISK,21.53,TRAIN
cust-00101,m-001,31,7,484.35,69.19,35.19,142.3,6,1,297,44.3,0.143,0.143,AT_RISK,7.8,TRAIN
cust-00102,m-001,59,13,976.69,75.13,35.57,122.62,9,1,284,18.8,0.385,0.154,AT_RISK,75.83,TRAIN
cust-00103,m-001,43,6,899.72,149.95,50.53,284.6,5,1,341,59.6,0.5,0.333,AT_RISK,9.43,TRAIN
cust-00104,m-001,71,16,1643.9,102.74,35.19,226.36,11,1,360,19.3,0.312,0.438,INACTIVE,92.3,TRAIN
cust-00105,m-001,57,13,815.31,62.72,35.19,179.02,8,1,359,25.2,0.231,0.538,AT_RISK,59.58,TRAIN
cust-00106,m-001,110,8,624.02,78.0,35.19,142.3,6,1,357,35.3,0.5,0.25,INACTIVE,100.0,VALIDATION
cust-00107,m-001,70,8,834.2,104.28,35.57,245.24,6,1,354,40.6,0.25,0.5,INACTIVE,58.89,TRAIN
cust-00108,m-001,62,10,823.24,82.32,35.57,142.3,7,1,346,31.6,0.1,0.5,INACTIVE,59.0,TRAIN
cust-00109,m-001,66,10,1190.05,119.0,35.57,391.86,7,1,330,29.3,0.4,0.2,INACTIVE,70.0,TRAIN
cust-00110,m-001,51,16,1653.97,103.37,36.39,284.6,10,1,328,18.5,0.312,0.25,AT_RISK,60.38,TRAIN
cust-00111,m-001,55,16,1636.97,102.31,35.19,261.24,10,1,351,19.7,0.375,0.438,AT_RISK,64.67,TRAIN
cust-00112,m-001,77,9,835.5,92.83,35.19,179.02,7,1,352,34.4,0.111,0.222,INACTIVE,80.26,TRAIN
cust-00113,m-001,50,11,952.01,86.55,35.57,221.88,7,1,344,29.4,0.182,0.182,AT_RISK,41.77,TRAIN
cust-00114,m-001,56,9,1136.96,126.33,35.57,367.86,7,1,334,34.8,0.444,0.444,AT_RISK,44.34,TRAIN
cust-00115,m-001,88,8,701.49,87.69,37.64,151.59,6,1,332,34.9,0.375,0.25,INACTIVE,99.47,TRAIN
cust-00116,m-001,37,12,1324.21,110.35,35.19,284.6,9,1,353,28.7,0.333,0.167,AT_RISK,20.29,TRAIN
cust-00117,m-001,52,12,1327.09,110.59,35.57,284.6,9,1,364,28.4,0.167,0.333,AT_RISK,46.08,TEST
cust-00118,m-001,31,10,1818.35,181.83,47.84,522.48,8,1,343,34.7,0.6,0.4,AT_RISK,6.76,TEST
cust-00119,m-001,40,10,986.62,98.66,35.19,332.88,8,1,352,34.7,0.3,0.2,AT_RISK,16.45,TRAIN
cust-00120,m-001,88,7,1258.4,179.77,35.19,426.9,5,1,305,36.2,0.571,0.571,INACTIVE,99.27,TRAIN
cust-00121,m-001,68,12,1842.46,153.54,47.84,367.86,7,1,350,25.6,0.333,0.333,INACTIVE,78.13,TRAIN
cust-00122,m-001,35,17,1973.64,116.1,35.19,391.86,8,1,355,20.0,0.353,0.353,AT_RISK,29.87,TRAIN
cust-00123,m-001,38,13,1185.87,91.22,35.19,339.54,10,1,356,26.5,0.154,0.077,AT_RISK,25.23,TRAIN
cust-00124,m-001,47,8,838.86,104.86,36.39,268.53,7,1,234,26.7,0.375,0.25,AT_RISK,45.45,TRAIN
cust-00125,m-001,47,9,884.75,98.31,37.64,226.36,7,1,357,38.8,0.444,0.222,AT_RISK,22.15,TRAIN
cust-00126,m-001,38,10,1245.57,124.56,35.19,245.24,9,1,312,30.4,0.6,0.6,AT_RISK,20.51,TEST
cust-00127,m-001,40,8,1516.86,189.61,35.57,522.48,6,1,361,45.9,0.625,0.25,AT_RISK,8.29,TEST
cust-00128,m-001,37,12,2153.71,179.48,36.39,569.2,8,1,327,26.4,0.333,0.333,AT_RISK,24.36,TRAIN
cust-00129,m-001,32,15,2014.81,134.32,35.19,284.6,12,1,315,20.2,0.333,0.267,AT_RISK,25.29,VALIDATION
cust-00130,m-001,84,7,855.52,122.22,50.53,142.3,5,1,361,46.2,0.286,0.286,INACTIVE,74.1,VALIDATION
cust-00131,m-001,33,11,957.88,87.08,35.19,166.44,7,1,348,31.5,0.364,0.364,AT_RISK,9.34,TEST
cust-00132,m-001,56,13,2163.09,166.39,37.64,452.72,9,1,320,22.0,0.308,0.462,AT_RISK,64.08,TRAIN
cust-00133,m-001,48,11,1347.16,122.47,35.19,284.6,8,1,329,28.1,0.273,0.455,AT_RISK,40.76,TRAIN
cust-00134,m-001,38,13,1054.31,81.1,35.19,130.62,9,1,333,24.6,0.308,0.308,AT_RISK,28.63,TEST
cust-00135,m-001,66,13,1425.5,109.65,36.39,332.88,6,1,344,23.2,0.385,0.077,INACTIVE,78.55,TRAIN
cust-00136,m-001,33,11,876.4,79.67,36.39,151.59,7,1,337,30.4,0.364,0.364,AT_RISK,11.22,TRAIN
cust-00137,m-001,33,14,1270.18,90.73,35.19,261.24,11,1,360,25.2,0.286,0.214,AT_RISK,18.56,TRAIN
cust-00138,m-001,82,9,969.12,107.68,35.57,490.48,8,1,275,24.1,0.444,0.556,INACTIVE,100.0,TEST
cust-00139,m-001,61,7,504.89,72.13,35.57,130.62,7,1,364,50.5,0.571,0.143,INACTIVE,28.28,TRAIN
cust-00140,m-001,72,14,1934.35,138.17,35.57,391.86,8,1,336,20.3,0.357,0.214,INACTIVE,93.57,TRAIN
cust-00141,m-001,44,11,1515.51,137.77,35.57,522.48,7,1,364,32.0,0.273,0.273,AT_RISK,27.04,VALIDATION
cust-00142,m-001,48,17,1034.22,60.84,35.19,122.76,8,1,363,19.7,0.294,0.353,AT_RISK,52.34,TRAIN
cust-00143,m-001,40,12,794.74,66.23,35.57,122.62,8,1,297,23.4,0.25,0.333,AT_RISK,34.97,TRAIN
cust-00144,m-001,68,16,1929.06,120.57,35.19,391.86,11,1,354,19.1,0.312,0.312,INACTIVE,87.72,TRAIN
cust-00145,m-001,71,9,1271.61,141.29,35.57,490.48,8,1,322,31.4,0.444,0.444,INACTIVE,75.89,TRAIN
cust-00146,m-001,52,11,1536.47,139.68,35.57,426.9,8,1,346,29.4,0.273,0.182,AT_RISK,45.14,TEST
cust-00147,m-001,50,11,1518.73,138.07,35.19,452.72,7,1,347,29.7,0.364,0.364,AT_RISK,41.23,TRAIN
cust-00148,m-001,65,9,732.88,81.43,35.19,130.62,6,1,333,33.5,0.333,0.222,INACTIVE,61.85,VALIDATION
cust-00149,m-001,42,19,1407.16,74.06,35.57,226.36,11,1,349,17.1,0.368,0.421,AT_RISK,46.35,VALIDATION
cust-00150,m-001,103,7,603.41,86.2,36.39,245.24,5,1,342,39.8,0.286,0.429,INACTIVE,100.0,TRAIN
cust-00151,m-001,80,7,787.14,112.45,37.64,261.24,6,1,284,34.0,0.429,0.143,INACTIVE,90.05,TRAIN
cust-00152,m-001,35,15,2245.9,149.73,37.64,426.9,10,1,347,22.3,0.533,0.267,AT_RISK,26.59,TRAIN
cust-00153,m-001,59,15,1375.85,91.72,35.19,202.12,10,1,341,20.1,0.333,0.333,AT_RISK,71.29,TRAIN
cust-00154,m-001,50,9,747.31,83.03,35.19,143.52,8,1,351,37.6,0.444,0.222,AT_RISK,29.25,TEST
cust-00155,m-001,80,17,2572.58,151.33,36.39,490.48,11,1,362,17.6,0.176,0.412,INACTIVE,100.0,TEST
cust-00156,m-001,33,10,991.2,99.12,35.19,268.53,7,1,340,34.1,0.4,0.3,AT_RISK,7.26,TRAIN
cust-00157,m-001,58,15,2325.17,155.01,37.64,391.86,9,1,320,18.7,0.4,0.267,AT_RISK,72.5,TRAIN
cust-00158,m-001,42,12,1178.1,98.18,35.57,268.53,9,1,331,26.3,0.25,0.417,AT_RISK,33.04,TRAIN
cust-00159,m-001,50,7,696.81,99.54,37.64,142.3,6,1,340,48.3,0.429,0.429,AT_RISK,13.55,VALIDATION
cust-00160,m-001,78,14,1791.6,127.97,55.47,249.66,8,1,361,21.8,0.5,0.071,INACTIVE,100.0,TRAIN
cust-00161,m-001,144,5,629.84,125.97,47.84,261.24,3,1,347,50.8,0.6,0.6,INACTIVE,100.0,TRAIN
cust-00162,m-001,38,8,808.64,101.08,37.64,179.02,5,1,289,35.9,0.125,0.25,AT_RISK,12.98,TEST
cust-00163,m-001,36,23,2438.78,106.03,35.57,339.54,12,1,361,14.8,0.391,0.217,AT_RISK,39.26,VALIDATION
cust-00164,m-001,55,9,1204.84,133.87,35.19,367.86,7,1,313,32.2,0.444,0.222,AT_RISK,47.34,VALIDATION
cust-00165,m-001,50,11,1883.44,171.22,36.39,569.2,8,1,350,30.0,0.273,0.273,AT_RISK,40.68,TRAIN
cust-00166,m-001,85,10,1536.19,153.62,35.57,452.72,8,1,360,30.6,0.5,0.5,INACTIVE,99.26,TRAIN
cust-00167,m-001,97,11,820.6,74.6,35.57,122.62,7,1,350,25.3,0.364,0.364,INACTIVE,100.0,TRAIN
cust-00168,m-001,50,12,1306.48,108.87,35.57,522.48,7,1,361,28.3,0.5,0.083,AT_RISK,42.91,TRAIN
cust-00169,m-001,76,11,784.78,71.34,35.57,142.3,8,1,348,27.2,0.364,0.364,INACTIVE,89.53,TRAIN
cust-00170,m-001,39,20,2056.88,102.84,35.19,339.54,8,1,352,16.5,0.35,0.3,AT_RISK,42.04,TRAIN
cust-00171,m-001,44,16,2222.07,138.88,35.57,426.9,9,1,361,21.1,0.375,0.25,AT_RISK,43.47,TRAIN
cust-00172,m-001,45,7,1292.98,184.71,55.47,452.72,6,1,362,52.8,0.429,0.714,AT_RISK,9.3,TRAIN
cust-00173,m-001,68,12,1101.05,91.75,35.57,284.6,9,1,295,20.6,0.5,0.333,INACTIVE,88.33,TRAIN
cust-00174,m-001,73,11,829.57,75.42,35.57,179.02,8,1,346,27.3,0.182,0.455,INACTIVE,84.33,TRAIN
cust-00175,m-001,80,9,1064.63,118.29,35.57,284.6,7,1,305,28.1,0.333,0.222,INACTIVE,97.46,TRAIN
cust-00176,m-001,51,9,593.89,65.99,35.19,113.18,6,1,294,30.4,0.222,0.444,AT_RISK,43.87,TRAIN
cust-00177,m-001,40,16,1894.01,118.38,35.57,261.24,12,1,341,20.1,0.188,0.438,AT_RISK,38.62,TRAIN
cust-00178,m-001,35,8,709.38,88.67,35.57,179.02,6,1,354,45.6,0.375,0.25,AT_RISK,7.39,TRAIN
cust-00179,m-001,122,8,939.04,117.38,35.19,284.6,7,1,356,33.4,0.25,0.25,INACTIVE,100.0,TRAIN
cust-00180,m-001,110,8,1061.64,132.71,35.57,452.72,5,1,339,32.7,0.75,0.25,INACTIVE,100.0,TRAIN
cust-00181,m-001,146,14,1093.81,78.13,35.57,142.3,8,1,314,12.9,0.143,0.214,INACTIVE,100.0,TRAIN
cust-00182,m-001,65,10,862.82,86.28,37.64,184.14,8,1,305,26.7,0.2,0.5,INACTIVE,73.38,TRAIN
cust-00183,m-001,45,8,845.67,105.71,36.39,142.3,6,1,340,42.1,0.25,0.25,AT_RISK,14.25,TRAIN
cust-00184,m-001,123,7,717.78,102.54,37.64,179.02,6,1,361,39.7,0.286,0.143,INACTIVE,100.0,TRAIN
cust-00185,m-001,122,7,629.31,89.9,36.39,249.66,6,1,364,40.3,0.429,0.429,INACTIVE,100.0,TRAIN
cust-00186,m-001,56,10,1061.16,106.12,36.39,226.36,8,1,336,31.1,0.3,0.5,AT_RISK,49.81,TRAIN
cust-00187,m-001,74,14,1240.74,88.62,35.57,142.3,9,1,359,21.9,0.143,0.429,INACTIVE,93.57,TRAIN
cust-00188,m-001,57,14,1296.58,92.61,35.19,245.52,8,1,352,22.7,0.357,0.357,AT_RISK,63.56,TRAIN
cust-00189,m-001,120,10,1215.41,121.54,35.57,452.72,7,1,336,24.0,0.2,0.3,INACTIVE,100.0,TRAIN
cust-00190,m-001,55,7,1135.07,162.15,35.57,391.86,5,1,361,51.0,0.286,0.286,AT_RISK,17.4,TEST
cust-00191,m-001,73,9,788.29,87.59,35.19,166.44,8,1,349,34.5,0.333,0.111,INACTIVE,73.39,TEST
cust-00192,m-001,60,11,1130.48,102.77,35.19,391.86,8,1,345,28.5,0.364,0.273,AT_RISK,60.26,TRAIN
cust-00193,m-001,43,16,1556.21,97.26,35.19,332.88,9,1,346,20.2,0.375,0.312,AT_RISK,43.49,TRAIN
cust-00194,m-001,44,13,1306.91,100.53,35.19,245.52,8,1,311,22.2,0.385,0.462,AT_RISK,43.28,TRAIN
cust-00195,m-001,45,17,1426.65,83.92,35.19,249.66,10,1,357,19.5,0.235,0.176,AT_RISK,47.68,TRAIN
cust-00196,m-001,51,8,1000.63,125.08,36.39,284.6,7,1,331,40.0,0.625,0.375,AT_RISK,28.02,TRAIN
cust-00197,m-001,47,11,1172.56,106.6,35.57,284.6,9,1,344,29.7,0.364,0.273,AT_RISK,36.17,TRAIN
cust-00198,m-001,46,17,1987.54,116.91,35.19,391.86,9,1,356,19.4,0.353,0.412,AT_RISK,49.56,TEST
cust-00199,m-001,33,14,1603.13,114.51,37.64,426.9,7,1,355,24.8,0.357,0.286,AT_RISK,19.25,TRAIN
cust-00200,m-001,70,9,876.01,97.33,35.19,284.6,8,1,339,33.6,0.556,0.333,INACTIVE,70.04,TRAIN
cust-00201,m-001,37,7,563.96,80.57,35.19,142.3,7,1,362,54.2,0.286,0.571,AT_RISK,7.64,TRAIN
cust-00202,m-001,39,12,1366.73,113.89,35.57,367.86,8,1,352,28.5,0.417,0.167,AT_RISK,24.04,TRAIN
cust-00203,m-001,60,13,1505.61,115.82,35.19,268.53,9,1,364,25.3,0.385,0.154,AT_RISK,64.38,TEST
cust-00204,m-001,84,10,781.56,78.16,35.19,151.59,8,1,300,24.0,0.1,0.6,INACTIVE,100.0,TRAIN
cust-00205,m-001,40,17,2039.2,119.95,47.84,284.6,11,1,356,19.8,0.471,0.353,AT_RISK,38.7,VALIDATION
cust-00206,m-001,46,12,1457.25,121.44,37.64,261.24,8,1,359,28.5,0.417,0.25,AT_RISK,35.83,TRAIN
cust-00207,m-001,36,7,955.43,136.49,35.19,284.6,5,1,312,46.0,0.143,0.429,AT_RISK,8.63,TEST
cust-00208,m-001,48,7,681.99,97.43,35.19,332.88,5,1,364,52.7,0.429,0.571,AT_RISK,9.86,VALIDATION
cust-00209,m-001,42,14,1406.81,100.49,36.39,284.6,8,1,348,23.5,0.357,0.357,AT_RISK,36.78,TRAIN
cust-00210,m-001,75,10,1446.8,144.68,35.19,522.48,8,1,339,29.3,0.3,0.2,INACTIVE,85.09,TRAIN
